device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,1,1,32,1884.98,1.269,0.002,18275.8,0.002,2.081
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,2,1,32,1883.28,1.271,0.002,9686.77,0.002,2.092
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,4,1,32,1886.87,1.267,0.001,5178.7,0.002,2.071
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,8,1,32,1886.06,1.268,0.002,2879.83,0.002,2.073
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,16,1,32,1884.57,1.282,0.002,1725.05,0.002,2.123
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,32,1,32,1883.15,1.263,0.002,1162.33,0.002,2.068
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,64,1,32,1882.91,1.284,0.002,1146.75,0.002,2.064
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,128,1,32,1885.72,1.269,0.001,1149.41,0.002,2.072
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,256,1,32,1883.93,1.26,0.002,1170.61,0.003,2.082
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,512,1,32,1884.16,1.272,0.002,1198.21,0.003,2.07
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,1024,1,32,1885.11,1.264,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,1,1,32,1885.27,1.259,0.002,9681.72,0.003,2.119
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,2,1,32,1884.97,1.262,0.001,5168.92,0.003,2.076
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,4,1,32,1893.51,1.269,0.002,2881.33,0.003,2.069
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,8,1,32,1885.87,1.277,0.002,1727.42,0.003,2.096
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,16,1,32,1883.93,1.276,0.002,1161.24,0.002,2.079
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,32,1,32,1883.47,1.275,0.002,1146.2,0.003,2.081
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,64,1,32,1884.98,1.268,0.001,1140.79,0.003,2.08
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,128,1,32,1883.83,1.267,0.001,1157.92,0.002,2.084
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,256,1,32,1884.02,1.267,0.001,1202.99,0.002,2.069
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,512,1,32,1883.77,1.287,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,1,1,32,1885.06,1.262,0.002,5179.4,0.003,2.074
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,2,1,32,1883.58,1.271,0.002,2877.37,0.003,2.095
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,4,1,32,1884.08,1.269,0.001,1727.68,0.003,2.068
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,8,1,32,1883.84,1.274,0.002,1163.82,0.002,2.089
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,16,1,32,1883.81,1.274,0.002,1147.04,0.003,2.08
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,32,1,32,1885.52,1.267,0.002,1140.24,0.003,2.081
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,64,1,32,1975.65,1.321,0.002,1304.37,0.003,2.245
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,128,1,32,1881.98,1.283,0.005,1344.21,0.004,2.195
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,256,1,32,1882.5,1.289,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,1,1,32,1882.18,1.279,0.002,3025.09,0.004,2.159
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,2,1,32,1881.83,1.276,0.002,1872.76,0.004,2.163
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,4,1,32,1881.17,1.297,0.001,1307.69,0.004,2.148
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,8,1,32,1881.73,1.286,0.002,1295.11,0.003,2.178
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,16,1,32,1883.02,1.275,0.002,1287.2,0.004,2.182
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,32,1,32,1882.14,1.287,0.001,1304.28,0.005,2.209
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,64,1,32,1881.82,1.293,0.002,1345.55,0.004,2.168
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,128,1,32,1883.07,1.302,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,16,1,1,32,1882.96,1.293,0.001,1872.16,0.004,2.167
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,16,2,1,32,1881.54,1.294,0.001,1308.48,0.004,2.175
