device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,1,1,1,0.5,2.753,1.596,0.001,7823.35,0,0.164
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,2,1,1,0.5,2.754,1.386,0.001,3926.76,0,0.164
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,4,1,1,0.5,2.751,1.147,0.001,1974.89,0,0.163
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,8,1,1,0.5,2.753,1.117,0.001,1001.61,0,0.163
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,16,1,1,0.5,2.756,1.131,0.001,527.324,0,0.161
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,32,1,1,0.5,2.757,1.119,0.001,270.522,0.001,0.163
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,64,1,1,0.5,2.752,1.126,0.001,159.543,0,0.159
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,128,1,1,0.5,2.801,1.121,0.001,129.363,0,0.158
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,256,1,1,0.5,2.752,1.118,0.002,129.707,0,0.157
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,512,1,1,0.5,2.742,1.114,0.001,131.624,0.001,0.157
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,1024,1,1,0.5,2.756,1.118,0.001,170.986,0,0.164
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,1,1,1,0.5,2.752,1.775,0.001,7823.81,0,0.166
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,2,1,1,0.5,2.751,1.501,0.001,3926.89,0,0.174
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,4,1,1,0.5,2.754,1.119,0,1974.39,0.001,0.169
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,8,1,1,0.5,2.75,1.113,0.001,1001.92,0,0.172
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,16,1,1,0.5,2.752,1.101,0.001,527.374,0,0.163
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,32,1,1,0.5,2.761,1.127,0.001,270.83,0,0.166
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,64,1,1,0.5,2.753,1.119,0.001,159.522,0,0.164
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,128,1,1,0.5,2.762,1.118,0.001,129.361,0,0.159
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,256,1,1,0.5,2.756,1.11,0.001,129.734,0,0.164
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,512,1,1,0.5,2.751,1.127,0,131.605,0,0.158
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,1024,1,1,0.5,2.753,1.108,0.001,170.983,0,0.16
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,1,1,1,0.5,2.754,1.746,0.002,7831.04,0.001,0.152
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,2,1,1,0.5,2.741,1.568,0.001,3932.48,0.001,0.153
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,4,1,1,0.5,2.757,1.091,0,1974.38,0,0.152
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,8,1,1,0.5,2.797,1.147,0,1002.59,0,0.172
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,16,1,1,0.5,2.759,1.184,0.001,527.974,0.001,0.158
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,32,1,1,0.5,2.739,1.088,0.001,270.903,0,0.15
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,64,1,1,0.5,2.752,1.093,0.001,159.687,0,0.157
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,128,1,1,0.5,2.787,1.09,0.001,129.445,0,0.153
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,256,1,1,0.5,2.761,1.088,0.001,129.791,0,0.155
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,512,1,1,0.5,2.754,1.097,0.001,131.678,0,0.157
Tesla K20Xm,NBody,ONE_D,32768,0.005,5,1024,1,1,0.5,2.753,1.088,0.001,171.15,0,0.15
