device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,676.752,134.777,0.003,20.17,75.389,0.98
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,666.916,134.805,0.002,12.544,37.72,0.825
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,658.111,135.767,0.002,7.675,19.036,0.662
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,654.835,134.892,0.002,4.827,9.815,0.666
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,653.104,134.69,0.002,3.029,5.328,0.654
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,655.477,134.675,0.003,2.01,2.906,0.653
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,651.652,135.051,0.002,1.658,1.738,0.655
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,660.46,135.363,0.002,1.464,1.501,0.616
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,650.819,134.76,0.002,1.532,1.442,0.625
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,651.134,134.64,0.003,1.729,1.273,0.604
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,652.418,134.728,0.003,2.088,1.318,0.588
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,675.603,136.106,0.003,20.177,75.395,0.969
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,661.643,135.164,0.002,12.541,40.34,0.693
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,657.942,135.176,0.003,7.727,19.053,0.664
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,656.975,141.27,0.002,4.797,10.069,0.661
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,653.196,135.194,0.003,3.052,5.339,0.733
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,652.847,135.281,0.002,1.991,2.915,0.651
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,651.183,135.436,0.002,1.805,1.739,0.644
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,651.178,134.903,0.003,1.462,1.483,0.608
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,652.619,134.91,0.002,1.531,1.396,0.614
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,651.237,134.935,0.002,1.75,1.239,0.62
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,651.908,135.113,0.002,2.106,1.232,0.606
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,683.249,134.051,0.002,20.196,75.205,0.983
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,662.514,134.143,0.002,12.543,37.985,0.699
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,657.47,134.732,0.003,7.71,19.216,0.656
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,656.406,134.13,0.003,4.797,9.897,0.661
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,652.88,134.507,0.002,3.029,5.333,0.647
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,651.686,134.345,0.003,2.011,2.94,0.647
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,652.715,134.475,0.002,1.653,1.838,0.649
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,650.978,134.508,0.003,1.441,1.528,0.599
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,652.044,134.496,0.003,1.691,1.404,0.606
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,650.813,134.461,0.003,1.75,1.254,0.604
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,650.933,134.133,0.002,2.138,1.314,0.645
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,675.601,134.676,0.002,20.206,75.222,0.971
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,662.877,134.589,0.002,12.538,37.735,0.687
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,657.689,134.953,0.002,7.727,19.013,0.651
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,655.248,134.433,0.002,4.76,9.955,0.649
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,654.681,134.687,0.003,3.047,5.254,0.65
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,652.141,134.512,0.002,2.018,3.034,0.658
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,652.446,134.913,0.002,1.612,1.785,0.636
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,651.058,135.026,0.002,1.484,1.64,0.602
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,651.823,134.568,0.002,1.537,1.351,0.601
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,652.449,134.785,0.002,1.801,1.344,0.62
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,651.226,134.78,0.003,2.097,1.205,0.625
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,675.222,134.302,0.003,20.169,75.632,0.981
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,661.559,134.317,0.002,12.518,37.812,0.695
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,659.071,134.516,0.003,7.676,19.067,0.654
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,655.515,134.274,0.002,4.822,9.895,0.652
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,654.356,134.175,0.003,3.055,5.391,0.649
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,651.929,134.644,0.002,1.991,2.876,0.638
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,651.258,134.532,0.002,1.692,1.781,0.641
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,652.355,134.454,0.003,1.438,1.498,0.623
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,651.7,134.617,0.003,1.603,1.31,0.602
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,652.467,134.515,0.003,1.731,1.216,0.596
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,651.023,134.872,0.003,2.139,1.25,0.592
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,676.966,134.254,0.002,20.169,75.412,0.973
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,661.773,134.249,0.002,12.516,37.734,0.699
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,658.856,134.413,0.002,7.726,18.971,0.65
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,654.973,134.774,0.003,4.824,9.909,0.653
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,653.841,134.461,0.002,3.049,5.36,0.652
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,653.375,134.491,0.002,2.018,2.868,0.671
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,651.553,134.479,0.002,1.62,1.746,0.674
