device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,1,1,1,4,19.783,3.002,0.002,4.359,1.718,0.161
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,2,1,1,4,19.757,3.015,0.001,2.461,1.72,0.152
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,4,1,1,4,19.775,3.004,0.001,1.409,1.725,0.151
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,8,1,1,4,19.775,2.993,0.001,0.863,1.719,0.15
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,16,1,1,4,19.762,3.004,0.001,0.624,1.72,0.156
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,32,1,1,4,19.867,3.008,0.001,0.557,1.716,0.149
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,64,1,1,4,19.771,3.009,0.001,0.47,1.725,0.15
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,128,1,1,4,19.77,3.001,0.001,0.451,1.719,0.151
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,256,1,1,4,19.768,3.014,0.001,0.526,1.719,0.149
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,512,1,1,4,19.808,3.004,0.001,0.428,1.717,0.151
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,1024,1,1,4,19.774,3.016,0.001,0.428,1.713,0.15
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,1,1,1,4,20.669,1.567,0,4.325,2.023,0.315
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,2,1,1,4,20.659,1.569,0.001,2.324,2.031,0.348
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,4,1,1,4,20.632,1.57,0.001,1.388,2.029,0.312
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,8,1,1,4,20.618,1.558,0.001,0.85,2.022,0.313
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,16,1,1,4,20.659,1.563,0.001,0.633,2.022,0.31
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,32,1,1,4,20.675,1.571,0.001,0.61,2.025,0.342
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,64,1,1,4,20.662,1.603,0.001,0.463,2.074,0.317
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,128,1,1,4,20.876,1.569,0.001,0.419,2.089,0.313
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,256,1,1,4,20.675,1.566,0.001,0.414,2.043,0.313
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,512,1,1,4,20.854,1.582,0.001,0.489,2.124,0.344
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,1024,1,1,4,20.876,1.578,0.001,0.422,2.051,0.311
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,1,1,1,4,20.07,1.626,0.001,4.389,1.729,0.146
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,2,1,1,4,19.848,1.58,0.001,2.408,1.72,0.143
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,4,1,1,4,19.941,1.621,0.001,1.346,1.748,0.156
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,8,1,1,4,20.162,1.578,0.001,0.866,1.729,0.144
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,16,1,1,4,19.834,1.572,0.004,0.668,1.717,0.146
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,32,1,1,4,19.835,1.581,0.001,0.529,1.721,0.146
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,64,1,1,4,19.788,1.585,0.001,0.47,1.712,0.147
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,128,1,1,4,19.79,1.582,0.001,0.447,1.713,0.142
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,256,1,1,4,19.828,1.58,0.001,0.447,1.73,0.142
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,512,1,1,4,19.79,1.578,0.001,0.423,1.746,0.15
Tesla K20Xm,SquareArray,ONE_D,1.04858e+06,1024,1,1,4,19.787,1.582,0.001,0.426,1.714,0.142
