device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Array3dAverage,THREE_D,176,1,1,16,20.7969,183.093,6.904,0.001,8.244,6.605,0.172
GTX 780,Array3dAverage,THREE_D,176,1,2,16,20.7969,182.446,6.909,0.001,7.574,6.598,0.165
GTX 780,Array3dAverage,THREE_D,176,1,4,16,20.7969,182.374,6.9,0.001,7.446,6.602,0.166
GTX 780,Array3dAverage,THREE_D,176,1,8,16,20.7969,182.514,6.885,0.001,7.45,6.661,0.169
GTX 780,Array3dAverage,THREE_D,176,1,16,1,20.7969,183.526,6.91,0,8.14,6.622,0.171
GTX 780,Array3dAverage,THREE_D,176,1,16,2,20.7969,182.07,6.881,0.001,7.562,6.831,0.165
GTX 780,Array3dAverage,THREE_D,176,1,16,4,20.7969,181.954,6.883,0.001,7.441,6.832,0.166
GTX 780,Array3dAverage,THREE_D,176,1,16,8,20.7969,181.865,6.892,0.001,7.439,6.836,0.168
GTX 780,Array3dAverage,THREE_D,176,1,16,16,20.7969,181.87,6.884,0.001,7.488,6.838,0.165
GTX 780,Array3dAverage,THREE_D,176,2,1,16,20.7969,182.424,6.889,0,4.279,6.713,0.176
GTX 780,Array3dAverage,THREE_D,176,2,2,16,20.7969,183.133,6.903,0.001,3.876,6.642,0.18
GTX 780,Array3dAverage,THREE_D,176,2,4,16,20.7969,182.369,6.872,0.001,3.877,6.637,0.173
GTX 780,Array3dAverage,THREE_D,176,2,8,16,20.7969,182.441,6.867,0.001,3.91,6.601,0.168
GTX 780,Array3dAverage,THREE_D,176,2,16,1,20.7969,200.305,6.888,0.001,4.218,6.819,0.164
GTX 780,Array3dAverage,THREE_D,176,2,16,2,20.7969,182.89,6.887,0.001,3.86,6.842,0.166
GTX 780,Array3dAverage,THREE_D,176,2,16,4,20.7969,181.96,6.89,0,3.869,6.851,0.165
GTX 780,Array3dAverage,THREE_D,176,2,16,8,20.7969,181.868,6.862,0.001,3.901,6.837,0.164
GTX 780,Array3dAverage,THREE_D,176,2,16,16,20.7969,181.855,6.87,0,3.917,6.843,0.165
GTX 780,Array3dAverage,THREE_D,176,4,1,16,20.7969,182.493,6.869,0.001,2.097,6.622,0.166
GTX 780,Array3dAverage,THREE_D,176,4,2,16,20.7969,183.018,6.874,0.001,2.113,6.6,0.167
GTX 780,Array3dAverage,THREE_D,176,4,4,16,20.7969,182.339,6.949,0.001,2.122,6.611,0.166
GTX 780,Array3dAverage,THREE_D,176,4,8,16,20.7969,183.43,6.907,0.001,2.188,6.694,0.174
GTX 780,Array3dAverage,THREE_D,176,4,16,1,20.7969,189.143,6.956,0.001,2.052,6.858,0.165
GTX 780,Array3dAverage,THREE_D,176,4,16,2,20.7969,181.781,6.921,0.001,2.106,6.852,0.166
GTX 780,Array3dAverage,THREE_D,176,4,16,4,20.7969,181.88,6.883,0,2.132,6.857,0.163
GTX 780,Array3dAverage,THREE_D,176,4,16,8,20.7969,181.966,6.873,0.001,2.155,6.913,0.165
GTX 780,Array3dAverage,THREE_D,176,4,16,16,20.7969,182.373,6.875,0,2.199,6.876,0.166
GTX 780,Array3dAverage,THREE_D,176,8,1,16,20.7969,182.561,6.891,0.001,1.222,6.612,0.164
GTX 780,Array3dAverage,THREE_D,176,8,2,16,20.7969,182.433,6.883,0.001,1.213,6.621,0.166
GTX 780,Array3dAverage,THREE_D,176,8,4,16,20.7969,182.755,6.896,0.001,1.214,6.646,0.167
GTX 780,Array3dAverage,THREE_D,176,8,8,16,20.7969,182.428,6.918,0.001,1.22,6.61,0.164
GTX 780,Array3dAverage,THREE_D,176,8,16,1,20.7969,181.801,6.91,0.001,1.207,6.852,0.164
GTX 780,Array3dAverage,THREE_D,176,8,16,2,20.7969,181.881,6.919,0,1.203,6.846,0.165
GTX 780,Array3dAverage,THREE_D,176,8,16,4,20.7969,183.25,6.906,0.001,1.203,6.874,0.169
GTX 780,Array3dAverage,THREE_D,176,8,16,8,20.7969,182.066,6.866,0,1.224,6.874,0.167
GTX 780,Array3dAverage,THREE_D,176,16,1,1,20.7969,201.495,6.894,0.001,3.79,6.835,0.17
GTX 780,Array3dAverage,THREE_D,176,16,1,2,20.7969,181.964,6.877,0.001,2.231,6.848,0.168
GTX 780,Array3dAverage,THREE_D,176,16,1,4,20.7969,181.847,6.863,0,1.233,6.86,0.169
GTX 780,Array3dAverage,THREE_D,176,16,1,8,20.7969,181.909,6.913,0,0.779,6.896,0.165
GTX 780,Array3dAverage,THREE_D,176,16,1,16,20.7969,182.226,6.958,0.001,0.809,6.83,0.168
GTX 780,Array3dAverage,THREE_D,176,16,2,1,20.7969,200.318,6.882,0.001,2.158,6.837,0.164
GTX 780,Array3dAverage,THREE_D,176,16,2,2,20.7969,181.906,6.882,0.001,1.221,6.837,0.165
GTX 780,Array3dAverage,THREE_D,176,16,2,4,20.7969,181.938,6.895,0.001,0.753,6.83,0.163
GTX 780,Array3dAverage,THREE_D,176,16,2,8,20.7969,182.005,6.992,0.001,0.786,6.942,0.165
GTX 780,Array3dAverage,THREE_D,176,16,2,16,20.7969,182.201,6.915,0,0.826,6.849,0.163
GTX 780,Array3dAverage,THREE_D,176,16,4,1,20.7969,189.148,6.901,0.001,1.192,6.836,0.168
GTX 780,Array3dAverage,THREE_D,176,16,4,2,20.7969,181.828,6.886,0.001,0.746,6.913,0.166
GTX 780,Array3dAverage,THREE_D,176,16,4,4,20.7969,182.129,6.931,0.001,0.771,6.911,0.165
GTX 780,Array3dAverage,THREE_D,176,16,4,8,20.7969,182.639,6.885,0.001,0.831,6.853,0.169
GTX 780,Array3dAverage,THREE_D,176,16,4,16,20.7969,182.024,6.892,0.001,0.908,6.823,0.164
GTX 780,Array3dAverage,THREE_D,176,16,8,1,20.7969,181.833,6.89,0,0.75,6.85,0.164
GTX 780,Array3dAverage,THREE_D,176,16,8,2,20.7969,181.902,6.866,0.001,0.767,6.842,0.163
GTX 780,Array3dAverage,THREE_D,176,16,8,4,20.7969,181.921,6.925,0.001,0.808,6.831,0.164
GTX 780,Array3dAverage,THREE_D,176,16,8,8,20.7969,182.495,6.896,0.001,0.913,6.858,0.169
GTX 780,Array3dAverage,THREE_D,176,16,16,1,20.7969,181.951,6.909,0.001,0.766,6.837,0.167
GTX 780,Array3dAverage,THREE_D,176,16,16,2,20.7969,181.847,6.878,0.001,0.8,6.848,0.168
