device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Computation,ONE_D,73,982,1,1,1,64,0.008,0,0,0.026,0,0.007
GTX 780,Computation,ONE_D,73,982,2,1,1,64,0.004,0,0.001,0.014,0,0.007
GTX 780,Computation,ONE_D,73,982,4,1,1,64,0.003,0,0,0.014,0,0.006
GTX 780,Computation,ONE_D,73,982,8,1,1,64,0.003,0.001,0,0.012,0,0.006
GTX 780,Computation,ONE_D,73,982,16,1,1,64,0.003,0,0.001,0.012,0,0.006
GTX 780,Computation,ONE_D,73,982,32,1,1,64,0.002,0,0,0.012,0,0.005
GTX 780,Computation,ONE_D,73,982,64,1,1,64,0.003,0,0,0.012,0,0.005
GTX 780,Computation,ONE_D,73,982,128,1,1,64,0.002,0,0,0.012,0.005,0.006
GTX 780,Computation,ONE_D,73,982,256,1,1,64,0.003,0,0,0.012,0.001,0.004
GTX 780,Computation,ONE_D,73,982,512,1,1,64,0.003,0,0,0.012,0,0.006
GTX 780,Computation,ONE_D,73,982,1024,1,1,64,0.003,0,0.001,-1,-1,-1
