device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Convolution,ONE_D,2508,2508,64,64,1,1,1,23,122.699,16.543,0.003,24330.9,6.015,0.224
GTX 780,Convolution,ONE_D,2508,2508,64,64,2,1,1,23,123.281,16.598,0.002,12221.1,6.462,0.232
GTX 780,Convolution,ONE_D,2508,2508,64,64,4,1,1,23,124.217,16.678,0.002,6168.5,6.003,0.237
GTX 780,Convolution,ONE_D,2508,2508,64,64,8,1,1,23,123.316,16.6,0.002,3117.52,5.732,0.227
GTX 780,Convolution,ONE_D,2508,2508,64,64,16,1,1,23,123.27,16.678,0.002,1598.19,5.666,0.228
GTX 780,Convolution,ONE_D,2508,2508,64,64,32,1,1,23,123.139,16.494,0.002,-1,-1,-1
GTX 780,Convolution,ONE_D,2508,2508,64,64,64,1,1,23,122.645,16.529,0.002,-1,-1,-1
GTX 780,Convolution,ONE_D,2508,2508,64,64,128,1,1,23,122.741,16.523,0.002,-1,-1,-1
GTX 780,Convolution,ONE_D,2508,2508,64,64,256,1,1,23,122.687,16.496,0.002,-1,-1,-1
GTX 780,Convolution,ONE_D,2508,2508,64,64,512,1,1,23,123.184,16.646,0.002,-1,-1,-1
GTX 780,Convolution,ONE_D,2508,2508,64,64,1024,1,1,23,122.934,16.479,0.002,-1,-1,-1
