device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,FWT,ONE_D,4.1943e+06,1,1,1,16,83.034,5.39,0.001,163.236,7.982,0.109
GTX 780,FWT,ONE_D,4.1943e+06,2,1,1,16,79.13,5.365,0.001,81.663,5.258,0.092
GTX 780,FWT,ONE_D,4.1943e+06,4,1,1,16,79.156,5.36,0.001,40.745,5.307,0.091
GTX 780,FWT,ONE_D,4.1943e+06,8,1,1,16,79.429,5.355,0,20.432,5.276,0.089
GTX 780,FWT,ONE_D,4.1943e+06,16,1,1,16,79.133,5.307,0,10.39,5.257,0.09
GTX 780,FWT,ONE_D,4.1943e+06,32,1,1,16,79.039,5.328,0,5.791,5.253,0.09
GTX 780,FWT,ONE_D,4.1943e+06,64,1,1,16,79.048,5.327,0.001,3.686,5.283,0.089
GTX 780,FWT,ONE_D,4.1943e+06,128,1,1,16,79,5.355,0,3.133,5.266,0.09
GTX 780,FWT,ONE_D,4.1943e+06,256,1,1,16,79.033,5.324,0,3.149,5.275,0.093
GTX 780,FWT,ONE_D,4.1943e+06,512,1,1,16,79.041,5.32,0,3.185,5.295,0.098
GTX 780,FWT,ONE_D,4.1943e+06,1024,1,1,16,79.095,5.311,0.001,3.246,5.26,0.093
GTX 780,FWT,ONE_D,4.1943e+06,1,1,1,16,83.014,5.423,0.001,163.186,7.979,0.111
GTX 780,FWT,ONE_D,4.1943e+06,2,1,1,16,79.192,5.326,0,81.658,5.269,0.093
GTX 780,FWT,ONE_D,4.1943e+06,4,1,1,16,79.141,5.318,0,40.742,5.282,0.093
GTX 780,FWT,ONE_D,4.1943e+06,8,1,1,16,79.774,5.328,0.001,20.427,5.252,0.09
GTX 780,FWT,ONE_D,4.1943e+06,16,1,1,16,79.139,5.321,0.001,10.381,5.261,0.092
GTX 780,FWT,ONE_D,4.1943e+06,32,1,1,16,79.08,5.318,0,5.784,5.269,0.089
GTX 780,FWT,ONE_D,4.1943e+06,64,1,1,16,79.097,5.325,0.001,3.687,5.259,0.089
GTX 780,FWT,ONE_D,4.1943e+06,128,1,1,16,79.102,5.32,0,3.137,5.256,0.088
GTX 780,FWT,ONE_D,4.1943e+06,256,1,1,16,79.091,5.314,0.001,3.15,5.254,0.089
GTX 780,FWT,ONE_D,4.1943e+06,512,1,1,16,79.072,5.33,0.001,3.184,5.304,0.091
GTX 780,FWT,ONE_D,4.1943e+06,1024,1,1,16,79.051,5.323,0,3.244,5.288,0.091
GTX 780,FWT,ONE_D,4.1943e+06,1,1,1,16,83.101,5.346,0.001,163.452,8.434,0.109
GTX 780,FWT,ONE_D,4.1943e+06,2,1,1,16,79.188,5.287,0.001,81.723,5.697,0.093
GTX 780,FWT,ONE_D,4.1943e+06,4,1,1,16,79.085,5.337,0.001,40.781,5.754,0.093
GTX 780,FWT,ONE_D,4.1943e+06,8,1,1,16,79.523,5.319,0.001,20.465,5.739,0.09
GTX 780,FWT,ONE_D,4.1943e+06,16,1,1,16,79.066,5.273,0.001,10.396,5.687,0.091
GTX 780,FWT,ONE_D,4.1943e+06,32,1,1,16,79.157,5.325,0,5.794,5.694,0.09
GTX 780,FWT,ONE_D,4.1943e+06,64,1,1,16,79.052,5.288,0,3.692,5.726,0.089
GTX 780,FWT,ONE_D,4.1943e+06,128,1,1,16,79.064,5.297,0,3.148,5.687,0.098
GTX 780,FWT,ONE_D,4.1943e+06,256,1,1,16,79.065,5.286,0,3.162,5.692,0.088
GTX 780,FWT,ONE_D,4.1943e+06,512,1,1,16,79.12,5.324,0.001,3.188,5.695,0.088
GTX 780,FWT,ONE_D,4.1943e+06,1024,1,1,16,79.109,5.283,0,3.268,5.728,0.092
GTX 780,FWT,ONE_D,4.1943e+06,1,1,1,16,81.721,5.385,0.001,163.263,7.87,0.117
GTX 780,FWT,ONE_D,4.1943e+06,2,1,1,16,79.038,5.326,0,81.663,5.185,0.091
GTX 780,FWT,ONE_D,4.1943e+06,4,1,1,16,78.86,5.317,0,40.752,5.258,0.089
GTX 780,FWT,ONE_D,4.1943e+06,8,1,1,16,78.865,5.322,0,20.445,5.186,0.088
GTX 780,FWT,ONE_D,4.1943e+06,16,1,1,16,78.781,5.311,0.001,10.373,5.179,0.088
GTX 780,FWT,ONE_D,4.1943e+06,32,1,1,16,78.827,5.3,0.001,5.773,5.246,0.087
GTX 780,FWT,ONE_D,4.1943e+06,64,1,1,16,78.836,5.297,0.001,3.675,5.192,0.088
GTX 780,FWT,ONE_D,4.1943e+06,128,1,1,16,78.919,5.307,0,3.136,5.214,0.088
GTX 780,FWT,ONE_D,4.1943e+06,256,1,1,16,80.012,5.364,0,3.151,5.195,0.089
GTX 780,FWT,ONE_D,4.1943e+06,512,1,1,16,78.895,5.296,0,3.184,5.188,0.087
GTX 780,FWT,ONE_D,4.1943e+06,1024,1,1,16,78.959,5.305,0,3.251,5.202,0.087
