device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,FloydWarshall,TWO_D,1773,1773,1,1,1,11,78.616,4.141,0,21864.7,7.198,0.189
GTX 780,FloydWarshall,TWO_D,1773,1773,1,2,1,11,80.564,4.289,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,1,4,1,11,79.723,4.15,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,1,8,1,11,79.882,4.102,0,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,1,16,1,11,79.732,4.105,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,1,32,1,11,79.758,4.105,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,1,64,1,11,79.985,4.098,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,1,128,1,11,79.921,4.096,0,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,1,256,1,11,79.908,4.098,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,1,512,1,11,79.957,4.106,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,1,1024,1,11,79.852,4.101,0,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,2,1,1,11,79.803,4.102,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,2,2,1,11,80.7,4.114,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,2,4,1,11,79.813,4.111,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,2,8,1,11,79.844,4.107,0,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,2,16,1,11,79.743,4.099,0,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,2,32,1,11,79.764,4.102,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,2,64,1,11,80.246,4.16,0,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,2,128,1,11,80.098,4.111,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,2,256,1,11,80.144,4.139,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,2,512,1,11,79.993,4.109,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,4,1,1,11,79.853,4.115,0,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,4,2,1,11,79.777,4.102,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,4,4,1,11,80.542,4.13,0,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,4,8,1,11,80.072,4.126,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,4,16,1,11,79.721,4.104,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,4,32,1,11,79.903,4.087,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,4,64,1,11,79.893,4.114,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,4,128,1,11,79.88,4.14,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,4,256,1,11,79.971,4.105,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,8,1,1,11,79.908,4.114,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,8,2,1,11,79.761,4.122,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,8,4,1,11,79.824,4.15,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,8,8,1,11,79.681,4.095,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,8,16,1,11,80.062,4.153,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,8,32,1,11,80.191,4.108,0,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,8,64,1,11,79.837,4.142,0,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,8,128,1,11,79.886,4.102,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,16,1,1,11,79.817,4.091,0.001,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,16,2,1,11,79.823,4.102,0,-1,-1,-1
GTX 780,FloydWarshall,TWO_D,1773,1773,16,4,1,11,79.934,4.095,0.001,-1,-1,-1
