device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,FluidSimulation,ONE_D,35,2172,2172,3,1,1,1,36,555.072,114.042,0.003,2101.54,0,3.137
GTX 780,FluidSimulation,ONE_D,35,2172,2172,3,2,1,1,36,553.443,115.206,0.003,1633.23,0,3.239
GTX 780,FluidSimulation,ONE_D,35,2172,2172,3,4,1,1,36,554.086,114.161,0.003,1400.78,0.001,3.197
GTX 780,FluidSimulation,ONE_D,35,2172,2172,3,8,1,1,36,553.936,114.108,0.004,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,35,2172,2172,3,16,1,1,36,553.953,114.172,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,35,2172,2172,3,32,1,1,36,553.941,114.228,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,35,2172,2172,3,64,1,1,36,552.818,114.155,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,35,2172,2172,3,128,1,1,36,552.425,113.971,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,35,2172,2172,3,256,1,1,36,552.907,114.146,0.004,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,35,2172,2172,3,512,1,1,36,554.472,114.675,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,35,2172,2172,3,1024,1,1,36,552.991,114.473,0.004,-1,-1,-1
