device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,LUDecomposition,TWO_D,1916,1916,1,1,1,28,71.084,24.291,0.002,5467.92,13.707,4.396
GTX 780,LUDecomposition,TWO_D,1916,1916,1,2,1,28,72.588,23.937,0.001,2770.8,9.953,4.45
GTX 780,LUDecomposition,TWO_D,1916,1916,1,4,1,28,72.5,23.979,0.002,1568.92,9.896,4.391
GTX 780,LUDecomposition,TWO_D,1916,1916,1,8,1,28,72.775,24.212,0.001,1060.4,9.954,4.408
GTX 780,LUDecomposition,TWO_D,1916,1916,1,16,1,28,72.591,23.909,0.002,728.034,9.885,4.374
GTX 780,LUDecomposition,TWO_D,1916,1916,1,32,1,28,72.565,24.11,0.002,559.17,9.892,4.38
GTX 780,LUDecomposition,TWO_D,1916,1916,1,64,1,28,72.616,23.922,0.002,524.178,9.969,4.464
GTX 780,LUDecomposition,TWO_D,1916,1916,1,128,1,28,72.68,23.961,0.002,477.339,9.902,4.384
GTX 780,LUDecomposition,TWO_D,1916,1916,1,256,1,28,72.538,23.999,0.002,421.111,9.902,4.368
GTX 780,LUDecomposition,TWO_D,1916,1916,1,512,1,28,72.518,23.917,0.002,246.198,9.929,4.417
GTX 780,LUDecomposition,TWO_D,1916,1916,1,1024,1,28,72.546,23.973,0.002,295.748,9.913,4.366
GTX 780,LUDecomposition,TWO_D,1916,1916,2,1,1,28,72.487,24.007,0.001,2770.58,9.932,4.384
GTX 780,LUDecomposition,TWO_D,1916,1916,2,2,1,28,72.792,24.185,0.002,1568.87,9.884,4.365
GTX 780,LUDecomposition,TWO_D,1916,1916,2,4,1,28,72.441,23.948,0.002,1060.36,9.92,4.393
GTX 780,LUDecomposition,TWO_D,1916,1916,2,8,1,28,72.517,23.893,0.002,728.202,9.894,4.37
GTX 780,LUDecomposition,TWO_D,1916,1916,2,16,1,28,72.5,23.968,0.001,559.196,9.902,4.448
GTX 780,LUDecomposition,TWO_D,1916,1916,2,32,1,28,72.508,23.904,0.002,524.081,9.996,4.447
GTX 780,LUDecomposition,TWO_D,1916,1916,2,64,1,28,72.975,24.247,0.001,477.249,9.934,4.426
GTX 780,LUDecomposition,TWO_D,1916,1916,2,128,1,28,72.502,24.005,0.002,421.008,9.897,4.431
GTX 780,LUDecomposition,TWO_D,1916,1916,2,256,1,28,72.596,23.952,0.002,246.045,9.934,4.397
GTX 780,LUDecomposition,TWO_D,1916,1916,2,512,1,28,72.485,23.965,0.002,295.77,9.868,4.382
GTX 780,LUDecomposition,TWO_D,1916,1916,4,1,1,28,72.45,23.982,0.002,1568.79,9.921,4.381
GTX 780,LUDecomposition,TWO_D,1916,1916,4,2,1,28,72.551,23.95,0.002,1060.35,9.941,4.376
GTX 780,LUDecomposition,TWO_D,1916,1916,4,4,1,28,72.456,24.011,0.002,728.342,9.944,4.35
GTX 780,LUDecomposition,TWO_D,1916,1916,4,8,1,28,72.613,23.941,0.002,559.081,9.89,4.408
GTX 780,LUDecomposition,TWO_D,1916,1916,4,16,1,28,72.622,23.99,0.002,524.127,9.908,4.413
GTX 780,LUDecomposition,TWO_D,1916,1916,4,32,1,28,72.51,24.009,0.001,477.422,9.891,4.437
GTX 780,LUDecomposition,TWO_D,1916,1916,4,64,1,28,72.763,24.128,0.001,420.807,9.956,4.424
GTX 780,LUDecomposition,TWO_D,1916,1916,4,128,1,28,72.87,24.204,0.002,246.069,9.894,4.409
GTX 780,LUDecomposition,TWO_D,1916,1916,4,256,1,28,72.566,24.059,0.002,295.761,9.918,4.364
GTX 780,LUDecomposition,TWO_D,1916,1916,8,1,1,28,72.596,23.953,0.002,1060.26,9.897,4.44
GTX 780,LUDecomposition,TWO_D,1916,1916,8,2,1,28,72.704,24.156,0.002,728.345,9.949,4.368
GTX 780,LUDecomposition,TWO_D,1916,1916,8,4,1,28,72.653,23.97,0.001,559.206,9.926,4.396
GTX 780,LUDecomposition,TWO_D,1916,1916,8,8,1,28,72.509,23.994,0.001,524.078,9.938,4.452
GTX 780,LUDecomposition,TWO_D,1916,1916,8,16,1,28,72.818,24.076,0.001,477.364,9.9,4.394
GTX 780,LUDecomposition,TWO_D,1916,1916,8,32,1,28,72.77,23.916,0.002,420.871,9.887,4.365
GTX 780,LUDecomposition,TWO_D,1916,1916,8,64,1,28,72.644,23.951,0.002,246.171,9.89,4.407
GTX 780,LUDecomposition,TWO_D,1916,1916,8,128,1,28,72.532,24.056,0.001,295.624,9.895,4.367
GTX 780,LUDecomposition,TWO_D,1916,1916,16,1,1,28,72.842,24.03,0.001,728.182,9.91,4.414
GTX 780,LUDecomposition,TWO_D,1916,1916,16,2,1,28,72.531,23.959,0.002,559.083,9.929,4.34
GTX 780,LUDecomposition,TWO_D,1916,1916,16,4,1,28,72.484,23.931,0.002,524.087,9.93,4.406
GTX 780,LUDecomposition,TWO_D,1916,1916,16,8,1,28,72.488,23.954,0.002,477.158,9.931,4.374
GTX 780,LUDecomposition,TWO_D,1916,1916,16,16,1,28,72.6,23.972,0.002,421.028,9.892,4.385
GTX 780,LUDecomposition,TWO_D,1916,1916,16,32,1,28,72.707,23.884,0.002,246.076,9.901,4.348
GTX 780,LUDecomposition,TWO_D,1916,1916,16,64,1,28,72.57,23.944,0.002,295.773,9.906,4.374
GTX 780,LUDecomposition,TWO_D,1916,1916,32,1,1,28,72.875,24.314,0.002,558.945,9.916,4.401
GTX 780,LUDecomposition,TWO_D,1916,1916,32,2,1,28,72.622,24.003,0.002,523.997,9.947,4.396
GTX 780,LUDecomposition,TWO_D,1916,1916,32,4,1,28,72.527,23.975,0.001,477.305,9.887,4.362
GTX 780,LUDecomposition,TWO_D,1916,1916,32,8,1,28,72.537,23.985,0.001,420.982,9.891,4.424
GTX 780,LUDecomposition,TWO_D,1916,1916,32,16,1,28,72.643,23.904,0.001,246.405,9.936,4.369
GTX 780,LUDecomposition,TWO_D,1916,1916,32,32,1,28,72.497,24.041,0.002,295.685,9.859,4.399
GTX 780,LUDecomposition,TWO_D,1916,1916,64,1,1,28,72.601,24.051,0.001,523.934,9.899,4.445
GTX 780,LUDecomposition,TWO_D,1916,1916,64,2,1,28,72.874,24.007,0.002,477.539,9.924,4.389
GTX 780,LUDecomposition,TWO_D,1916,1916,64,4,1,28,72.561,23.969,0.002,420.942,9.9,4.4
GTX 780,LUDecomposition,TWO_D,1916,1916,64,8,1,28,72.637,24.087,0.002,246.14,9.91,4.401
GTX 780,LUDecomposition,TWO_D,1916,1916,64,16,1,28,72.578,23.995,0.002,295.62,9.914,4.392
GTX 780,LUDecomposition,TWO_D,1916,1916,128,1,1,28,72.616,23.975,0.002,477.347,9.885,4.392
GTX 780,LUDecomposition,TWO_D,1916,1916,128,2,1,28,72.482,23.963,0.002,421.054,9.892,4.409
GTX 780,LUDecomposition,TWO_D,1916,1916,128,4,1,28,72.576,23.911,0.002,245.962,9.933,4.397
GTX 780,LUDecomposition,TWO_D,1916,1916,128,8,1,28,72.591,24.024,0.001,295.685,9.901,4.379
GTX 780,LUDecomposition,TWO_D,1916,1916,256,1,1,28,72.655,23.927,0.002,421.012,9.916,4.391
GTX 780,LUDecomposition,TWO_D,1916,1916,256,2,1,28,72.56,23.982,0.002,245.977,9.915,4.41
GTX 780,LUDecomposition,TWO_D,1916,1916,256,4,1,28,72.45,24.032,0.002,295.775,9.923,4.389
GTX 780,LUDecomposition,TWO_D,1916,1916,512,1,1,28,72.552,24.025,0.001,246.044,9.962,4.419
GTX 780,LUDecomposition,TWO_D,1916,1916,512,2,1,28,72.718,23.964,0.001,295.596,9.918,4.41
GTX 780,LUDecomposition,TWO_D,1916,1916,1024,1,1,28,72.594,23.999,0.001,295.528,9.895,4.505
