device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,1,1,1,19,204.302,14.247,0.002,10416.7,7.135,0.276
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,1,2,1,19,203.134,14.291,0.002,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,1,4,1,19,203.095,14.205,0.002,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,1,8,1,19,203.008,14.173,0.003,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,1,16,1,19,203.285,14.215,0.002,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,1,32,1,19,202.634,14.509,0.003,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,1,64,1,19,203.266,14.216,0.003,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,1,128,1,19,204.532,14.179,0.002,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,1,256,1,19,203.365,14.157,0.002,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,1,512,1,19,203.028,14.239,0.002,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,1,1024,1,19,203.104,14.146,0.002,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,2,1,1,19,203.267,14.199,0.003,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,2,2,1,19,203.037,15.583,0.003,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,2,4,1,19,203.322,14.406,0.002,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,2,8,1,19,202.985,14.213,0.003,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,2,16,1,19,203.058,14.226,0.003,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,2,32,1,19,204.954,14.187,0.003,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,2,64,1,19,203.196,14.195,0.002,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,2,128,1,19,203.171,14.207,0.002,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,2,256,1,19,202.973,14.166,0.002,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,2,512,1,19,202.923,14.283,0.002,-1,-1,-1
GTX 780,MatrixMultiplication,TWO_D,2289,2289,2289,4,1,1,19,202.813,14.446,0.002,-1,-1,-1
