device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,MatrixTranspose,TWO_D,3238,3238,1,1,1,39,202.976,14.081,0.002,36.329,20.277,0.504
GTX 780,MatrixTranspose,TWO_D,3238,3238,1,2,1,39,202.799,14.068,0.002,19.793,20.196,0.442
GTX 780,MatrixTranspose,TWO_D,3238,3238,1,4,1,39,203.302,14.074,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,1,8,1,39,202.705,14.079,0.002,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,1,16,1,39,202.629,14.058,0.003,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,1,32,1,39,202.747,14.043,0.002,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,1,64,1,39,203.874,14.075,0.002,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,1,128,1,39,202.914,14.024,0.003,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,1,256,1,39,202.502,14.041,0.003,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,1,512,1,39,202.869,14.063,0.003,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,1,1024,1,39,202.89,14.082,0.003,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,2,1,1,39,202.9,14.106,0.003,18.379,20.24,0.455
GTX 780,MatrixTranspose,TWO_D,3238,3238,2,2,1,39,202.381,14.064,0.002,10.074,20.196,0.522
GTX 780,MatrixTranspose,TWO_D,3238,3238,2,4,1,39,202.852,14.062,0.002,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,2,8,1,39,203.129,14.064,0.002,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,2,16,1,39,203.277,14.055,0.002,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,2,32,1,39,202.408,14.043,0.003,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,2,64,1,39,202.438,14.09,0.003,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,2,128,1,39,202.969,14.145,0.003,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,3238,3238,2,256,1,39,203.375,14.132,0.002,-1,-1,-1
