device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Memory,ONE_D,3.35544e+07,1,1,1,128,663.17,43.987,0.002,108.464,62.818,0.763
GTX 780,Memory,ONE_D,3.35544e+07,2,1,1,128,662.451,43.986,0.002,49.91,62.683,0.762
GTX 780,Memory,ONE_D,3.35544e+07,4,1,1,128,661.139,44.159,0.002,24.953,62.975,0.763
GTX 780,Memory,ONE_D,3.35544e+07,8,1,1,128,661.294,44.026,0.002,12.529,63.378,0.778
GTX 780,Memory,ONE_D,3.35544e+07,16,1,1,128,667.561,44.031,0.002,6.965,62.832,0.763
GTX 780,Memory,ONE_D,3.35544e+07,32,1,1,128,661.786,43.992,0.002,3.723,62.659,0.762
GTX 780,Memory,ONE_D,3.35544e+07,64,1,1,128,663.714,44.008,0.003,2.198,62.727,0.774
GTX 780,Memory,ONE_D,3.35544e+07,128,1,1,128,661.333,44.047,0.002,1.602,62.836,0.766
GTX 780,Memory,ONE_D,3.35544e+07,256,1,1,128,661.773,44.147,0.002,1.623,62.826,0.756
GTX 780,Memory,ONE_D,3.35544e+07,512,1,1,128,663.023,43.973,0.002,1.618,62.802,0.761
GTX 780,Memory,ONE_D,3.35544e+07,1024,1,1,128,662.356,43.977,0.003,1.662,62.745,0.761
GTX 780,Memory,ONE_D,3.35544e+07,1,1,1,128,662.867,44.085,0.002,108.359,61.802,0.912
GTX 780,Memory,ONE_D,3.35544e+07,2,1,1,128,662.657,43.975,0.003,54.196,61.815,0.913
GTX 780,Memory,ONE_D,3.35544e+07,4,1,1,128,663.02,43.884,0.002,26.995,61.829,0.915
GTX 780,Memory,ONE_D,3.35544e+07,8,1,1,128,664.467,43.879,0.002,13.598,61.859,0.911
GTX 780,Memory,ONE_D,3.35544e+07,16,1,1,128,663.033,43.932,0.004,6.966,61.816,0.924
GTX 780,Memory,ONE_D,3.35544e+07,32,1,1,128,663.081,44.124,0.003,3.72,62.394,0.91
GTX 780,Memory,ONE_D,3.35544e+07,64,1,1,128,662.589,43.868,0.003,2.221,62.049,0.919
GTX 780,Memory,ONE_D,3.35544e+07,128,1,1,128,663.263,43.85,0.003,1.598,61.879,0.905
GTX 780,Memory,ONE_D,3.35544e+07,256,1,1,128,664.056,43.9,0.003,1.64,62.005,0.911
GTX 780,Memory,ONE_D,3.35544e+07,512,1,1,128,662.95,43.827,0.003,1.658,61.837,0.927
GTX 780,Memory,ONE_D,3.35544e+07,1024,1,1,128,663.517,43.937,0.003,1.621,61.815,0.913
