device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,1,1,1,35.9923,812.374,2.194,0.001,5008.63,0.002,2.86
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,1,2,1,35.9923,812.668,2.215,0.002,2673.85,0.002,2.882
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,1,4,1,35.9923,811.928,2.181,0.002,1481.41,0.002,2.885
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,1,8,1,35.9923,811.891,2.174,0.002,-1,-1,-1
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,1,16,1,35.9923,812.511,2.181,0.002,-1,-1,-1
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,1,32,1,35.9923,811.728,2.186,0.002,-1,-1,-1
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,1,64,1,35.9923,812.153,2.178,0.001,-1,-1,-1
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,1,128,1,35.9923,812.241,2.188,0.002,-1,-1,-1
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,1,256,1,35.9923,812.588,2.19,0.002,-1,-1,-1
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,1,512,1,35.9923,812.305,2.176,0.002,-1,-1,-1
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,1,1024,1,35.9923,812.218,2.18,0.002,-1,-1,-1
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,2,1,1,35.9923,812.469,2.175,0.002,2674.9,0.002,2.9
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,2,2,1,35.9923,812.224,2.175,0.002,1490.82,0.003,2.87
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,2,4,1,35.9923,812.08,2.163,0.002,869.036,0.002,2.871
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,2,8,1,35.9923,812.204,2.183,0.002,-1,-1,-1
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,2,16,1,35.9923,812.137,2.18,0.001,-1,-1,-1
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,2,32,1,35.9923,812.138,2.174,0.001,-1,-1,-1
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,2,64,1,35.9923,811.486,2.17,0.002,-1,-1,-1
GTX 780,MonteCarloAsian,TWO_D,1086,2172,4,2,128,1,35.9923,812.49,2.286,0.001,-1,-1,-1
