device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,NBody,ONE_D,2.62144e+06,0.005,1,1,1,1,40,225.039,43.301,0.003,9.30504e+06,0.001,7.257
GTX 780,NBody,ONE_D,2.62144e+06,0.005,1,2,1,1,40,235.195,62.976,0.004,4.66393e+06,0.001,5.809
GTX 780,NBody,ONE_D,2.62144e+06,0.005,1,4,1,1,40,226.775,47.345,0.003,2.33585e+06,0.001,6.237
GTX 780,NBody,ONE_D,2.62144e+06,0.005,1,8,1,1,40,224.606,47.989,0.002,1.17532e+06,0.001,6.41
GTX 780,NBody,ONE_D,2.62144e+06,0.005,1,16,1,1,40,224.72,43.37,0.003,594450,0,6.128
GTX 780,NBody,ONE_D,2.62144e+06,0.005,1,32,1,1,40,224.801,43.363,0.003,321796,0,6.117
GTX 780,NBody,ONE_D,2.62144e+06,0.005,1,64,1,1,40,224.766,43.347,0.002,172451,0,5.952
GTX 780,NBody,ONE_D,2.62144e+06,0.005,1,128,1,1,40,224.998,43.348,0.003,153126,0,5.952
GTX 780,NBody,ONE_D,2.62144e+06,0.005,1,256,1,1,40,224.767,43.399,0.002,152937,0,5.982
GTX 780,NBody,ONE_D,2.62144e+06,0.005,1,512,1,1,40,224.895,43.424,0.001,152561,0,5.934
GTX 780,NBody,ONE_D,2.62144e+06,0.005,1,1024,1,1,40,225.096,43.387,0.002,186373,0.001,5.954
