device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Reduction,ONE_D,1.04858e+06,1,1,1,16,84.653,11.381,0.001,3.687,8.919,3.57
GTX 780,Reduction,ONE_D,1.04858e+06,2,1,1,16,81.657,11.032,0.001,2.797,4.31,3.002
GTX 780,Reduction,ONE_D,1.04858e+06,4,1,1,16,80.859,10.946,0.001,2.274,2.155,2.729
GTX 780,Reduction,ONE_D,1.04858e+06,8,1,1,16,81.454,10.98,0.001,1.927,1.205,2.604
GTX 780,Reduction,ONE_D,1.04858e+06,16,1,1,16,80.379,10.857,0.001,1.74,0.845,2.526
GTX 780,Reduction,ONE_D,1.04858e+06,32,1,1,16,80.263,10.902,0.001,1.639,0.68,2.526
GTX 780,Reduction,ONE_D,1.04858e+06,64,1,1,16,80.28,10.895,0.001,1.605,0.589,2.532
GTX 780,Reduction,ONE_D,1.04858e+06,128,1,1,16,80.335,10.887,0.001,1.6,0.565,2.554
GTX 780,Reduction,ONE_D,1.04858e+06,256,1,1,16,80.651,11.018,0.001,1.628,0.543,2.521
GTX 780,Reduction,ONE_D,1.04858e+06,512,1,1,16,80.761,10.921,0.001,1.624,0.529,2.532
GTX 780,Reduction,ONE_D,1.04858e+06,1024,1,1,16,86.071,12.563,0.001,1.761,0.647,2.703
