device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,SquareArray,ONE_D,4.1943e+06,1,1,1,16,79.49,5.374,0.001,13.82,6.809,0.172
GTX 780,SquareArray,ONE_D,4.1943e+06,2,1,1,16,79.425,5.515,0.001,6.98,5.35,0.163
GTX 780,SquareArray,ONE_D,4.1943e+06,4,1,1,16,79.614,5.407,0.001,3.508,5.317,0.161
GTX 780,SquareArray,ONE_D,4.1943e+06,8,1,1,16,79.201,5.35,0,1.804,5.315,0.155
GTX 780,SquareArray,ONE_D,4.1943e+06,16,1,1,16,79.121,5.369,0.001,0.962,5.318,0.155
GTX 780,SquareArray,ONE_D,4.1943e+06,32,1,1,16,79.117,5.356,0.001,0.551,5.349,0.154
GTX 780,SquareArray,ONE_D,4.1943e+06,64,1,1,16,79.075,5.403,0,0.369,5.309,0.153
GTX 780,SquareArray,ONE_D,4.1943e+06,128,1,1,16,79.109,5.366,0.001,0.28,5.317,0.157
GTX 780,SquareArray,ONE_D,4.1943e+06,256,1,1,16,79.145,5.362,0,0.286,5.311,0.154
GTX 780,SquareArray,ONE_D,4.1943e+06,512,1,1,16,79.081,5.36,0.001,0.286,5.346,0.154
GTX 780,SquareArray,ONE_D,4.1943e+06,1024,1,1,16,79.112,5.397,0,0.294,5.307,0.154
