device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,VectorAdd,ONE_D,1.04858e+06,1,1,1,4,45.705,2.908,0.002,3.291,2.308,0.206
GTX 780,VectorAdd,ONE_D,1.04858e+06,2,1,1,4,45.254,2.888,0.001,1.697,1.51,0.201
GTX 780,VectorAdd,ONE_D,1.04858e+06,4,1,1,4,44.958,2.927,0.001,0.901,1.498,0.204
GTX 780,VectorAdd,ONE_D,1.04858e+06,8,1,1,4,45.207,2.899,0,0.504,1.505,0.201
GTX 780,VectorAdd,ONE_D,1.04858e+06,16,1,1,4,44.94,2.895,0.001,0.308,1.498,0.201
GTX 780,VectorAdd,ONE_D,1.04858e+06,32,1,1,4,45.198,2.895,0,0.216,1.506,0.2
GTX 780,VectorAdd,ONE_D,1.04858e+06,64,1,1,4,44.945,2.89,0,0.183,1.505,0.199
GTX 780,VectorAdd,ONE_D,1.04858e+06,128,1,1,4,45.102,2.883,0.001,0.169,1.5,0.199
GTX 780,VectorAdd,ONE_D,1.04858e+06,256,1,1,4,44.941,2.884,0.001,0.165,1.499,0.199
GTX 780,VectorAdd,ONE_D,1.04858e+06,512,1,1,4,45.17,2.899,0,0.167,1.504,0.198
GTX 780,VectorAdd,ONE_D,1.04858e+06,1024,1,1,4,44.975,2.888,0.001,0.167,1.537,0.2
GTX 780,VectorAdd,ONE_D,1.04858e+06,1,1,1,4,45.701,2.906,0.001,3.283,1.509,0.21
GTX 780,VectorAdd,ONE_D,1.04858e+06,2,1,1,4,45.128,2.877,0.001,1.702,1.512,0.202
GTX 780,VectorAdd,ONE_D,1.04858e+06,4,1,1,4,45.151,2.928,0.001,0.902,1.509,0.207
GTX 780,VectorAdd,ONE_D,1.04858e+06,8,1,1,4,45.068,2.889,0,0.506,1.506,0.201
GTX 780,VectorAdd,ONE_D,1.04858e+06,16,1,1,4,45.682,2.899,0.001,0.315,1.505,0.201
GTX 780,VectorAdd,ONE_D,1.04858e+06,32,1,1,4,46.009,2.935,0,0.218,1.54,0.202
GTX 780,VectorAdd,ONE_D,1.04858e+06,64,1,1,4,45.415,2.886,0.001,0.184,1.506,0.207
GTX 780,VectorAdd,ONE_D,1.04858e+06,128,1,1,4,45.05,2.885,0,0.17,1.5,0.2
GTX 780,VectorAdd,ONE_D,1.04858e+06,256,1,1,4,45.169,2.882,0,0.17,1.504,0.199
GTX 780,VectorAdd,ONE_D,1.04858e+06,512,1,1,4,45.081,2.893,0,0.168,1.497,0.2
GTX 780,VectorAdd,ONE_D,1.04858e+06,1024,1,1,4,45.19,2.895,0,0.169,1.507,0.2
GTX 780,VectorAdd,ONE_D,1.04858e+06,1,1,1,4,45.819,2.904,0.002,3.28,1.381,0.201
GTX 780,VectorAdd,ONE_D,1.04858e+06,2,1,1,4,45.126,2.89,0,1.696,1.377,0.206
GTX 780,VectorAdd,ONE_D,1.04858e+06,4,1,1,4,45.095,2.924,0,0.901,1.37,0.197
GTX 780,VectorAdd,ONE_D,1.04858e+06,8,1,1,4,45.131,2.89,0,0.503,1.369,0.201
GTX 780,VectorAdd,ONE_D,1.04858e+06,16,1,1,4,45.256,2.906,0,0.309,1.37,0.197
GTX 780,VectorAdd,ONE_D,1.04858e+06,32,1,1,4,45.546,2.884,0,0.214,1.375,0.203
GTX 780,VectorAdd,ONE_D,1.04858e+06,64,1,1,4,45.212,2.897,0.004,0.182,1.37,0.197
GTX 780,VectorAdd,ONE_D,1.04858e+06,128,1,1,4,45.112,2.888,0.001,0.164,1.366,0.204
GTX 780,VectorAdd,ONE_D,1.04858e+06,256,1,1,4,45.184,2.935,0,0.165,1.375,0.196
GTX 780,VectorAdd,ONE_D,1.04858e+06,512,1,1,4,45.121,2.908,0.001,0.165,1.37,0.205
GTX 780,VectorAdd,ONE_D,1.04858e+06,1024,1,1,4,45.097,2.931,0,0.165,1.416,0.198
GTX 780,VectorAdd,ONE_D,1.04858e+06,1,1,1,4,45.601,2.891,0.001,3.286,1.371,0.201
GTX 780,VectorAdd,ONE_D,1.04858e+06,2,1,1,4,45.36,2.891,0.001,1.697,1.375,0.201
GTX 780,VectorAdd,ONE_D,1.04858e+06,4,1,1,4,45.033,2.883,0.001,0.901,1.364,0.2
GTX 780,VectorAdd,ONE_D,1.04858e+06,8,1,1,4,45.134,2.879,0,0.503,1.373,0.199
GTX 780,VectorAdd,ONE_D,1.04858e+06,16,1,1,4,45,2.882,0.001,0.308,1.371,0.197
GTX 780,VectorAdd,ONE_D,1.04858e+06,32,1,1,4,45.126,2.889,0.001,0.215,1.377,0.202
GTX 780,VectorAdd,ONE_D,1.04858e+06,64,1,1,4,45.012,2.957,0.001,0.19,1.456,0.214
GTX 780,VectorAdd,ONE_D,1.04858e+06,128,1,1,4,45.497,2.888,0.001,0.165,1.372,0.197
GTX 780,VectorAdd,ONE_D,1.04858e+06,256,1,1,4,45.559,2.975,0.001,0.165,1.37,0.197
GTX 780,VectorAdd,ONE_D,1.04858e+06,512,1,1,4,45.218,2.884,0.001,0.167,1.373,0.203
GTX 780,VectorAdd,ONE_D,1.04858e+06,1024,1,1,4,44.934,2.882,0,0.176,1.369,0.197
GTX 780,VectorAdd,ONE_D,1.04858e+06,1,1,1,4,45.611,2.89,0.002,3.286,1.493,0.203
GTX 780,VectorAdd,ONE_D,1.04858e+06,2,1,1,4,45.234,2.879,0.001,1.696,1.5,0.2
GTX 780,VectorAdd,ONE_D,1.04858e+06,4,1,1,4,45.192,2.881,0.001,0.9,1.5,0.198
GTX 780,VectorAdd,ONE_D,1.04858e+06,8,1,1,4,45.159,2.881,0,0.508,1.496,0.203
GTX 780,VectorAdd,ONE_D,1.04858e+06,16,1,1,4,45.169,2.875,0.001,0.308,1.503,0.197
GTX 780,VectorAdd,ONE_D,1.04858e+06,32,1,1,4,45.183,2.882,0,0.214,1.5,0.197
GTX 780,VectorAdd,ONE_D,1.04858e+06,64,1,1,4,45.146,2.892,0.001,0.182,1.5,0.203
GTX 780,VectorAdd,ONE_D,1.04858e+06,128,1,1,4,45.151,2.887,0.001,0.164,1.497,0.203
GTX 780,VectorAdd,ONE_D,1.04858e+06,256,1,1,4,45.161,2.866,0.001,0.164,1.504,0.197
GTX 780,VectorAdd,ONE_D,1.04858e+06,512,1,1,4,45.197,2.913,0.001,0.166,1.502,0.197
