device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Array3dAverage,THREE_D,218,1,1,1,39.5211,384.798,13.523,0.002,127.372,19.743,0.613
Tesla K20Xm,Array3dAverage,THREE_D,218,1,1,2,39.5211,382.621,13.559,0.002,73.505,19.76,0.615
Tesla K20Xm,Array3dAverage,THREE_D,218,1,2,1,39.5211,427.178,14.158,0.002,71.219,19.766,0.381
Tesla K20Xm,Array3dAverage,THREE_D,218,1,2,2,39.5211,441.534,14.376,0.003,41.209,19.75,0.375
Tesla K20Xm,Array3dAverage,THREE_D,218,2,1,1,39.5211,415.872,14.212,0.001,64.703,19.725,0.385
Tesla K20Xm,Array3dAverage,THREE_D,218,2,1,2,39.5211,436.52,14.168,0.002,36.78,19.818,0.371
Tesla K20Xm,Array3dAverage,THREE_D,218,2,2,1,39.5211,451.646,14.237,0.002,36.197,19.728,0.372
Tesla K20Xm,Array3dAverage,THREE_D,218,2,2,2,39.5211,437.106,14.247,0.002,20.543,19.992,0.373
Tesla K20Xm,Array3dAverage,THREE_D,218,1,1,1,39.5211,390.999,27.639,0.002,127.33,21.461,0.859
Tesla K20Xm,Array3dAverage,THREE_D,218,1,1,2,39.5211,381.511,27.631,0.002,73.444,21.347,0.869
Tesla K20Xm,Array3dAverage,THREE_D,218,1,2,1,39.5211,381.534,28.065,0.002,71.192,21.874,0.535
Tesla K20Xm,Array3dAverage,THREE_D,218,1,2,2,39.5211,385.111,28.021,0.002,41.156,21.863,0.534
Tesla K20Xm,Array3dAverage,THREE_D,218,2,1,1,39.5211,380.073,28.002,0.003,64.704,21.82,0.542
Tesla K20Xm,Array3dAverage,THREE_D,218,2,1,2,39.5211,387.214,28.013,0.002,36.55,21.87,0.524
Tesla K20Xm,Array3dAverage,THREE_D,218,2,2,1,39.5211,381.474,28.049,0.002,36.186,21.85,0.524
Tesla K20Xm,Array3dAverage,THREE_D,218,2,2,2,39.5211,387.009,28.085,0.002,20.514,21.834,0.527
Tesla K20Xm,Array3dAverage,THREE_D,218,1,1,1,39.5211,396.914,27.906,0.003,127.567,21.943,0.887
Tesla K20Xm,Array3dAverage,THREE_D,218,1,1,2,39.5211,393.605,27.825,0.002,73.459,21.794,0.888
Tesla K20Xm,Array3dAverage,THREE_D,218,1,2,1,39.5211,423.027,28.12,0.002,71.189,21.85,0.541
Tesla K20Xm,Array3dAverage,THREE_D,218,1,2,2,39.5211,433.145,28.145,0.002,41.154,21.844,0.533
Tesla K20Xm,Array3dAverage,THREE_D,218,2,1,1,39.5211,407.923,28.064,0.002,64.707,21.812,0.532
Tesla K20Xm,Array3dAverage,THREE_D,218,2,1,2,39.5211,433.19,28.156,0.003,36.547,21.983,0.532
Tesla K20Xm,Array3dAverage,THREE_D,218,2,2,1,39.5211,423.537,28.182,0.002,36.158,21.861,0.522
Tesla K20Xm,Array3dAverage,THREE_D,218,2,2,2,39.5211,432.019,28.048,0.006,20.485,21.834,0.53
Tesla K20Xm,Array3dAverage,THREE_D,218,1,1,1,39.5211,384.926,27.683,0.003,127.349,21.591,0.666
Tesla K20Xm,Array3dAverage,THREE_D,218,1,1,2,39.5211,381.56,27.706,0.003,73.443,21.528,0.672
Tesla K20Xm,Array3dAverage,THREE_D,218,1,2,1,39.5211,384.342,28.131,0.003,71.201,21.533,0.413
Tesla K20Xm,Array3dAverage,THREE_D,218,1,2,2,39.5211,387.122,28.135,0.002,41.164,21.514,0.42
Tesla K20Xm,Array3dAverage,THREE_D,218,2,1,1,39.5211,383.471,28.129,0.002,64.704,21.521,0.419
Tesla K20Xm,Array3dAverage,THREE_D,218,2,1,2,39.5211,387.974,28.078,0.002,36.54,21.597,0.409
Tesla K20Xm,Array3dAverage,THREE_D,218,2,2,1,39.5211,385.966,28.074,0.002,36.164,21.512,0.413
Tesla K20Xm,Array3dAverage,THREE_D,218,2,2,2,39.5211,387.351,28.06,0.002,20.486,21.556,0.414
