device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1,1,1,39,210.685,36.011,0.003,53672.7,16.45,0.671
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,2,1,1,39,213.478,36.031,0.003,26927.9,15.628,0.667
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,4,1,1,39,213.058,36.113,0.003,13550,14.608,0.697
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,8,1,1,39,210.936,36.115,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,16,1,1,39,210.358,35.999,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,32,1,1,39,210.294,36.105,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,64,1,1,39,210.398,35.97,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,128,1,1,39,210.525,35.962,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,256,1,1,39,210.318,36.072,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,512,1,1,39,210.318,35.995,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1024,1,1,39,210.849,36.499,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1,1,1,39,210.812,61.628,0.003,53672.6,15.189,0.761
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,2,1,1,39,211.062,64.933,0.003,26927.9,14.323,0.754
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,4,1,1,39,210.472,64.534,0.003,13550,14.96,0.732
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,8,1,1,39,210.426,64.593,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,16,1,1,39,210.398,64.541,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,32,1,1,39,210.31,64.553,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,64,1,1,39,210.332,64.865,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,128,1,1,39,210.79,64.466,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,256,1,1,39,210.328,64.631,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,512,1,1,39,210.342,64.456,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1024,1,1,39,210.65,64.561,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1,1,1,39,212.723,65.47,0.003,53672.5,15.082,0.741
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,2,1,1,39,210.689,64.903,0.003,26927.9,14.377,0.718
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,4,1,1,39,209.966,64.911,0.002,13550,15.133,0.709
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,8,1,1,39,210.008,64.912,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,16,1,1,39,209.821,64.881,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,32,1,1,39,209.838,64.945,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,64,1,1,39,210.684,64.917,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,128,1,1,39,210.022,64.88,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,256,1,1,39,209.769,64.932,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,512,1,1,39,209.791,64.907,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1024,1,1,39,210.015,64.949,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1,1,1,39,208.349,32.632,0.003,53672.6,14.596,0.78
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,2,1,1,39,210.272,36.411,0.003,26927.9,15.024,0.728
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,4,1,1,39,210.465,36.373,0.004,13550,13.331,0.72
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,8,1,1,39,210.237,36.372,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,16,1,1,39,210.401,36.435,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,32,1,1,39,210.153,36.451,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,64,1,1,39,210.1,36.311,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,128,1,1,39,210.223,36.387,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,256,1,1,39,211,36.606,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,512,1,1,39,210.2,36.458,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1024,1,1,39,209.982,36.37,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1,1,1,39,235.882,31.949,0.003,53672.6,14.446,0.724
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,2,1,1,39,210.058,36.513,0.004,26927.9,13.398,0.743
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,4,1,1,39,210.287,37.056,0.004,13550,14.245,0.722
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,8,1,1,39,209.816,36.372,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,16,1,1,39,211.231,36.361,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,32,1,1,39,209.924,36.377,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,64,1,1,39,209.901,36.443,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,128,1,1,39,209.971,36.324,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,256,1,1,39,210.68,36.348,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,512,1,1,39,209.918,36.66,0.004,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1024,1,1,39,209.879,36.367,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1,1,1,39,215.442,62.374,0.003,53672.5,15.45,0.73
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,2,1,1,39,209.924,65.072,0.003,26927.8,14.654,0.734
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,4,1,1,39,209.907,65.13,0.002,13550,14.612,0.736
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,8,1,1,39,209.825,65.023,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,16,1,1,39,211.142,65.12,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,32,1,1,39,210.299,65.375,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,64,1,1,39,209.924,65.044,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,128,1,1,39,209.859,64.96,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,256,1,1,39,209.99,65.035,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,512,1,1,39,217.697,65.01,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1024,1,1,39,209.851,64.928,0.003,-1,-1,-1
