device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,FWT,ONE_D,2.09715e+06,1,1,1,8,40.825,5.738,0,101.123,3.236,0.089
Tesla K20Xm,FWT,ONE_D,2.09715e+06,2,1,1,8,40.638,5.752,0,50.582,2.462,0.089
Tesla K20Xm,FWT,ONE_D,2.09715e+06,4,1,1,8,40.601,5.738,0.001,25.425,2.478,0.087
Tesla K20Xm,FWT,ONE_D,2.09715e+06,8,1,1,8,40.64,5.731,0.001,12.891,2.455,0.085
Tesla K20Xm,FWT,ONE_D,2.09715e+06,16,1,1,8,40.619,5.77,0,6.587,2.477,0.085
Tesla K20Xm,FWT,ONE_D,2.09715e+06,32,1,1,8,40.635,5.747,0,3.636,2.469,0.088
Tesla K20Xm,FWT,ONE_D,2.09715e+06,64,1,1,8,40.743,5.747,0,2.336,2.466,0.085
Tesla K20Xm,FWT,ONE_D,2.09715e+06,128,1,1,8,40.656,5.769,0.001,1.981,2.466,0.085
Tesla K20Xm,FWT,ONE_D,2.09715e+06,256,1,1,8,40.686,5.737,0,2,2.464,0.084
Tesla K20Xm,FWT,ONE_D,2.09715e+06,512,1,1,8,40.627,5.746,0.001,2.06,2.468,0.083
Tesla K20Xm,FWT,ONE_D,2.09715e+06,1024,1,1,8,40.663,5.751,0.001,2.143,2.458,0.084
Tesla K20Xm,FWT,ONE_D,2.09715e+06,1,1,1,8,40.71,5.751,0.001,101.139,3.256,0.089
Tesla K20Xm,FWT,ONE_D,2.09715e+06,2,1,1,8,40.698,5.746,0,50.577,2.478,0.088
Tesla K20Xm,FWT,ONE_D,2.09715e+06,4,1,1,8,40.532,5.752,0,25.423,2.466,0.089
Tesla K20Xm,FWT,ONE_D,2.09715e+06,8,1,1,8,40.686,5.731,0,12.892,2.503,0.086
Tesla K20Xm,FWT,ONE_D,2.09715e+06,16,1,1,8,40.642,5.756,0.001,6.589,2.464,0.087
Tesla K20Xm,FWT,ONE_D,2.09715e+06,32,1,1,8,40.592,5.786,0.001,3.636,2.466,0.09
Tesla K20Xm,FWT,ONE_D,2.09715e+06,64,1,1,8,40.583,5.75,0.001,2.333,2.478,0.085
Tesla K20Xm,FWT,ONE_D,2.09715e+06,128,1,1,8,40.625,5.747,0.001,1.974,2.468,0.084
Tesla K20Xm,FWT,ONE_D,2.09715e+06,256,1,1,8,40.571,5.738,0,2.004,2.46,0.088
Tesla K20Xm,FWT,ONE_D,2.09715e+06,512,1,1,8,40.766,5.774,0,2.054,2.468,0.084
Tesla K20Xm,FWT,ONE_D,2.09715e+06,1024,1,1,8,40.553,5.737,0.001,2.143,2.475,0.086
Tesla K20Xm,FWT,ONE_D,2.09715e+06,1,1,1,8,41.047,5.762,0.001,101.129,3.238,0.089
Tesla K20Xm,FWT,ONE_D,2.09715e+06,2,1,1,8,40.77,5.742,0,50.566,2.466,0.095
Tesla K20Xm,FWT,ONE_D,2.09715e+06,4,1,1,8,40.573,5.76,0.001,25.419,2.475,0.088
Tesla K20Xm,FWT,ONE_D,2.09715e+06,8,1,1,8,40.655,5.743,0,12.896,2.476,0.087
Tesla K20Xm,FWT,ONE_D,2.09715e+06,16,1,1,8,40.598,5.75,0,6.587,2.466,0.086
Tesla K20Xm,FWT,ONE_D,2.09715e+06,32,1,1,8,40.614,5.752,0.001,3.632,2.479,0.085
Tesla K20Xm,FWT,ONE_D,2.09715e+06,64,1,1,8,40.641,5.738,0,2.34,2.462,0.086
Tesla K20Xm,FWT,ONE_D,2.09715e+06,128,1,1,8,40.594,5.729,0.001,1.976,2.468,0.085
Tesla K20Xm,FWT,ONE_D,2.09715e+06,256,1,1,8,40.674,5.738,0.001,2,2.471,0.085
Tesla K20Xm,FWT,ONE_D,2.09715e+06,512,1,1,8,40.695,5.753,0.001,2.06,2.464,0.085
Tesla K20Xm,FWT,ONE_D,2.09715e+06,1024,1,1,8,40.533,5.739,0.001,2.148,2.458,0.086
Tesla K20Xm,FWT,ONE_D,2.09715e+06,1,1,1,8,41.371,5.788,0.001,101.35,3.283,0.093
Tesla K20Xm,FWT,ONE_D,2.09715e+06,2,1,1,8,39.438,5.782,0.001,50.758,3.242,0.105
Tesla K20Xm,FWT,ONE_D,2.09715e+06,4,1,1,8,39.85,5.826,0.001,25.444,3.234,0.089
Tesla K20Xm,FWT,ONE_D,2.09715e+06,8,1,1,8,39.486,5.745,0,13.097,3.235,0.097
Tesla K20Xm,FWT,ONE_D,2.09715e+06,16,1,1,8,39.473,5.756,0,6.822,3.236,0.087
Tesla K20Xm,FWT,ONE_D,2.09715e+06,32,1,1,8,39.56,5.765,0,3.853,3.242,0.086
Tesla K20Xm,FWT,ONE_D,2.09715e+06,64,1,1,8,39.422,5.739,0,2.594,3.24,0.085
Tesla K20Xm,FWT,ONE_D,2.09715e+06,128,1,1,8,39.472,5.744,0,2.171,3.251,0.085
Tesla K20Xm,FWT,ONE_D,2.09715e+06,256,1,1,8,39.433,5.738,0.001,2.254,3.243,0.087
Tesla K20Xm,FWT,ONE_D,2.09715e+06,512,1,1,8,39.466,5.758,0,2.254,3.247,0.088
Tesla K20Xm,FWT,ONE_D,2.09715e+06,1024,1,1,8,39.437,5.734,0,2.376,3.253,0.085
