device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,1,1,1,41,274.763,29.674,0.003,185101,31.454,0.82
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,1,2,1,41,274.111,29.742,0.003,98423.5,31.206,0.837
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,1,4,1,41,274.705,29.766,0.003,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,1,8,1,41,274.45,30.031,0.003,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,1,16,1,41,275.515,29.767,0.003,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,1,32,1,41,274.223,29.753,0.003,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,1,64,1,41,275.026,29.803,0.003,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,1,128,1,41,274.495,29.733,0.002,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,1,256,1,41,274.813,29.751,0.003,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,1,512,1,41,274.792,29.944,0.003,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,1,1024,1,41,275.362,29.741,0.003,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,2,1,1,41,274.192,29.778,0.003,92799.2,31.255,0.844
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,2,2,1,41,274.725,29.774,0.003,49354.6,31.237,0.841
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,2,4,1,41,274.392,29.736,0.002,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,2,8,1,41,274.885,29.766,0.003,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,2,16,1,41,275.122,29.775,0.003,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,3318,3318,2,32,1,41,275.11,29.741,0.003,-1,-1,-1
