device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,1,1,1,40,112.775,39.437,0.003,10485.5,21.067,5.913
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,1,2,1,40,109.549,38.851,0.003,5329.25,20.99,5.881
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,1,4,1,40,109.315,38.941,0.003,3071.71,21.083,5.92
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,1,8,1,40,109.323,38.78,0.002,2092.41,20.903,5.902
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,1,16,1,40,109.354,38.689,0.003,1459.55,20.965,5.914
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,1,32,1,40,109.334,38.758,0.002,1101.67,20.874,5.942
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,1,64,1,40,109.334,38.685,0.003,1049.69,21.185,5.941
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,1,128,1,40,109.413,38.792,0.003,967.268,21.128,5.891
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,1,256,1,40,109.387,38.682,0.004,887.494,21.129,5.93
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,1,512,1,40,109.398,38.737,0.003,621.888,21.145,5.906
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,1,1024,1,40,109.815,38.762,0.003,620.77,21.21,6.026
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,2,1,1,40,109.315,38.898,0.003,5329.69,20.977,5.997
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,2,2,1,40,109.327,38.734,0.002,3071.75,20.956,5.955
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,2,4,1,40,109.309,38.704,0.003,2092.23,21.05,5.889
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,2,8,1,40,109.351,39.007,0.003,1459.16,20.911,5.98
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,2,16,1,40,109.332,38.682,0.003,1101.66,20.995,5.902
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,2,32,1,40,109.358,38.888,0.003,1049.73,21.303,6.011
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,2,64,1,40,110.13,38.837,0.003,967.232,21.227,5.905
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,2,128,1,40,109.335,38.876,0.004,887.449,21.128,6.002
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,2,256,1,40,109.982,38.792,0.003,621.57,21.148,5.893
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,2,512,1,40,109.459,38.866,0.003,621.117,21.204,5.913
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,4,1,1,40,109.352,38.807,0.003,3071.85,20.935,5.926
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,4,2,1,40,109.368,38.944,0.003,2092.13,21.015,5.917
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,4,4,1,40,109.368,38.926,0.003,1459.48,20.941,5.927
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,4,8,1,40,109.349,38.909,0.003,1101.6,21.038,5.916
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,4,16,1,40,109.318,38.851,0.003,1049.71,21.002,5.937
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,4,32,1,40,109.307,38.912,0.003,967.019,21.185,5.901
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,4,64,1,40,109.345,38.941,0.003,887.576,21.196,5.916
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,4,128,1,40,109.367,38.915,0.003,621.858,21.192,5.933
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,4,256,1,40,109.349,38.844,0.003,620.903,21.344,5.933
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,8,1,1,40,109.341,38.895,0.003,2092.42,21.19,5.927
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,8,2,1,40,109.35,38.943,0.003,1459.66,21.276,5.918
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,8,4,1,40,109.401,38.883,0.002,1101.72,21.202,5.936
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,8,8,1,40,109.381,38.852,0.004,1049.91,21.243,5.902
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,8,16,1,40,109.329,38.971,0.003,967.098,21.309,5.932
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,8,32,1,40,109.356,38.883,0.003,887.544,21.269,5.922
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,8,64,1,40,109.343,39.176,0.003,621.681,21.262,5.929
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,8,128,1,40,109.33,38.924,0.003,620.835,21.255,5.9
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,16,1,1,40,109.341,38.865,0.002,1459.41,21.16,5.942
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,16,2,1,40,109.369,38.903,0.002,1101.61,21.233,5.907
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,16,4,1,40,109.318,38.864,0.002,1049.8,21.174,5.923
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,16,8,1,40,109.578,39.026,0.003,967.166,21.13,5.907
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,16,16,1,40,109.442,38.948,0.003,887.496,21.269,5.99
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,16,32,1,40,109.41,38.886,0.003,621.743,21.174,6.01
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,16,64,1,40,109.291,38.869,0.003,621.922,23.485,6.677
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,32,1,1,40,109.805,38.736,0.003,1101.84,21.217,5.923
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,32,2,1,40,109.329,38.772,0.003,1049.84,21.121,5.934
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,32,4,1,40,109.665,38.914,0.004,967.167,21.189,5.899
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,32,8,1,40,109.401,38.778,0.003,887.521,21.277,5.932
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,32,16,1,40,109.361,38.663,0.003,621.536,21.113,5.925
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,32,32,1,40,109.393,38.723,0.002,620.93,21.117,5.92
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,64,1,1,40,109.455,38.718,0.002,1049.72,21.124,5.917
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,64,2,1,40,109.43,38.917,0.003,967.153,21.308,6.091
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,64,4,1,40,109.703,38.875,0.004,887.532,21.127,5.932
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,64,8,1,40,109.324,38.92,0.003,621.52,21.138,5.926
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,64,16,1,40,109.878,39.148,0.004,621.015,21.138,5.946
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,128,1,1,40,109.414,38.904,0.004,967.281,21.208,5.917
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,128,2,1,40,109.425,39.171,0.004,887.375,21.159,5.93
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,128,4,1,40,109.422,38.764,0.003,621.6,21.101,5.929
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,128,8,1,40,109.395,38.716,0.004,621.124,21.072,5.919
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,256,1,1,40,109.31,38.761,0.003,887.32,21.208,5.912
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,256,2,1,40,109.289,38.713,0.003,621.641,21.193,5.913
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,256,4,1,40,109.327,38.695,0.003,621.118,21.161,6.03
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,512,1,1,40,109.334,38.648,0.003,621.341,21.214,5.914
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,512,2,1,40,110.285,38.889,0.003,621.175,21.296,5.942
Tesla K20Xm,LUDecomposition,TWO_D,2292,2292,1024,1,1,40,109.438,38.757,0.002,621.092,21.139,5.938
