device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,4,1,256,2655.44,174.63,0.003,42733,126.769,2.22
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,8,1,256,2665.49,174.953,0.003,33271.8,125.773,2.235
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,16,1,256,2655.7,174.516,0.003,32468.7,125.765,2.325
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,32,1,256,2655.48,174.798,0.003,32581.7,125.572,2.242
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,64,1,256,2657.74,174.558,0.003,32793.5,125.703,2.303
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,128,1,256,2654.34,175.368,0.003,32856.7,125.653,2.329
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,256,1,256,2655.11,174.802,0.002,31635.2,125.393,2.254
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,8,4,1,256,2656.3,174.627,0.002,22650.3,125.598,2.264
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,8,8,1,256,2654.39,923.159,0.002,18197.3,125.843,2.338
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,8,16,1,256,2654.35,174.846,0.002,18450.3,125.733,2.226
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,8,32,1,256,2654.63,174.463,0.003,18263.6,126.168,2.359
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,8,64,1,256,2655.45,174.503,0.003,18204.5,125.641,2.226
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,8,128,1,256,2653.27,174.673,0.002,17690.1,125.565,2.301
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,16,4,1,256,2655.95,176.473,0.002,11916.3,125.567,2.267
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,16,8,1,256,2653.92,174.614,0.003,11579.8,124.535,2.33
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,16,16,1,256,2654.02,174.896,0.002,11241.5,125.84,2.202
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,16,32,1,256,2653.89,175.107,0.003,11072.1,125.76,2.312
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,16,64,1,256,2653.39,175.711,0.002,10723.4,125.769,2.264
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,32,4,1,256,2654.6,174.957,0.002,9253.46,125.995,2.226
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,32,8,1,256,2653.73,174.754,0.003,8598.38,125.745,2.225
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,32,16,1,256,2653.64,174.575,0.002,8556.28,126.004,2.249
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,32,32,1,256,2653.64,174.587,0.002,8467.85,125.62,2.243
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,64,4,1,256,2654.98,174.542,0.003,8628.3,125.737,2.228
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,64,8,1,256,2653.97,175.163,0.002,8582.79,125.893,2.257
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,64,16,1,256,2654.02,174.577,0.003,8503.29,125.845,2.248
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,128,4,1,256,2661.91,174.527,0.003,8603.5,125.841,2.257
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,128,8,1,256,2655.29,174.504,0.003,8581.67,125.671,2.229
