device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,1,1,31,162.373,22.428,0.003,33.713,12.475,0.223
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,2,1,31,162.095,22.611,0.003,18.772,12.421,0.228
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,4,1,31,161.022,22.359,0.003,10.174,12.428,0.221
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,8,1,31,160.424,22.388,0.002,6.124,12.45,0.233
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,16,1,31,160.499,22.366,0.002,4.334,12.458,0.244
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,32,1,31,160.84,22.348,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,64,1,31,160.798,22.428,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,128,1,31,160.957,22.346,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,256,1,31,160.482,22.382,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,512,1,31,160.657,22.328,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,1024,1,31,160.836,22.332,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,1,1,31,161.552,22.585,0.004,16.975,12.447,0.224
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,2,1,31,160.752,22.333,0.002,9.684,12.432,0.223
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,4,1,31,160.651,22.326,0.003,5.356,12.443,0.223
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,8,1,31,160.522,22.377,0.002,3.297,12.43,0.226
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,16,1,31,160.546,22.402,0.002,2.401,12.431,0.222
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,32,1,31,160.68,22.103,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,64,1,31,160.629,22.358,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,128,1,31,160.819,22.33,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,256,1,31,160.663,22.332,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,512,1,31,160.589,22.319,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,1,1,31,161.289,22.554,0.003,8.623,12.543,0.226
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,2,1,31,160.84,22.336,0.003,5.076,12.472,0.223
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,4,1,31,160.617,22.299,0.003,2.902,12.479,0.231
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,8,1,31,160.622,22.319,0.002,1.915,12.475,0.221
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,16,1,31,160.924,22.346,0.003,1.322,12.42,0.223
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,32,1,31,160.889,22.323,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,64,1,31,161.06,22.392,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,128,1,31,160.646,22.327,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,256,1,31,160.547,22.326,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,8,1,1,31,160.696,22.338,0.003,4.602,12.429,0.224
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,8,2,1,31,161.495,22.328,0.003,2.798,12.567,0.224
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,8,4,1,31,161.21,22.365,0.002,1.705,12.464,0.222
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,8,8,1,31,160.615,22.321,0.002,1.14,12.442,0.219
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,8,16,1,31,160.711,22.287,0.002,0.946,12.43,0.227
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,8,32,1,31,160.718,22.284,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,8,64,1,31,160.77,22.409,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,8,128,1,31,161.147,22.377,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,16,1,1,31,160.828,22.33,0.003,2.558,12.439,0.229
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,16,2,1,31,160.728,22.365,0.003,1.635,12.434,0.225
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,16,4,1,31,161.604,22.498,0.003,1.081,12.515,0.223
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,16,8,1,31,161.091,22.54,0.003,0.892,12.44,0.225
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,16,16,1,31,161.331,22.357,0.003,0.91,12.436,0.225
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,16,32,1,31,160.796,22.301,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,16,64,1,31,160.438,22.297,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,32,1,1,31,160.813,22.342,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,32,2,1,31,160.73,22.378,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,32,4,1,31,160.667,22.467,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,32,8,1,31,160.644,22.339,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,32,16,1,31,160.484,22.351,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,32,32,1,31,160.69,22.39,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,64,1,1,31,160.867,22.457,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,64,2,1,31,161.907,22.331,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,64,4,1,31,160.544,22.31,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,64,8,1,31,160.718,22.313,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,64,16,1,31,160.512,22.299,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,128,1,1,31,160.677,22.337,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,128,2,1,31,160.9,22.332,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,128,4,1,31,160.871,22.327,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,128,8,1,31,160.657,22.322,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,256,1,1,31,160.509,22.326,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,256,2,1,31,160.738,22.368,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,256,4,1,31,162.296,22.371,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,512,1,1,31,160.676,22.345,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,512,2,1,31,160.661,22.331,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1024,1,1,31,160.552,22.372,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,1,1,31,165.934,22.961,0.003,33.79,16.72,0.632
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,2,1,31,165.759,22.921,0.003,18.767,16.7,0.627
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,4,1,31,166.564,23.062,0.002,10.168,17.112,0.641
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,8,1,31,166.845,22.943,0.003,6.073,16.684,0.618
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,16,1,31,165.775,23.022,0.004,4.078,16.681,0.615
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,32,1,31,165.637,22.956,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,64,1,31,165.856,22.961,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,128,1,31,165.807,22.99,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,256,1,31,165.753,22.899,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,512,1,31,165.799,22.991,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,1,1024,1,31,165.649,23,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,1,1,31,165.77,22.97,0.003,16.987,16.717,0.616
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,2,1,31,166.74,22.998,0.003,9.687,16.729,0.608
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,4,1,31,165.632,22.928,0.003,5.309,16.71,0.613
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,8,1,31,165.812,22.943,0.002,3.266,16.652,0.619
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,16,1,31,165.65,23.021,0.003,2.386,16.698,0.629
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,32,1,31,165.741,22.908,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,64,1,31,165.945,22.922,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,128,1,31,165.689,22.892,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,256,1,31,165.784,22.96,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,2,512,1,31,165.821,22.9,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,1,1,31,165.868,23.221,0.003,8.634,16.791,0.622
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,2,1,31,166.175,22.923,0.002,5.064,16.701,0.619
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,4,1,31,165.695,23.046,0.003,2.864,16.727,0.608
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,8,1,31,165.611,22.971,0.002,1.862,16.721,0.616
Tesla K20Xm,MatrixTranspose,TWO_D,2896,2896,4,16,1,31,165.793,22.923,0.002,1.262,16.746,0.615
