device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Memory,ONE_D,1.00663e+08,1,1,1,384,1986.32,269.136,0.003,376.247,203.065,1.991
Tesla K20Xm,Memory,ONE_D,1.00663e+08,2,1,1,384,1985.36,268.834,0.003,186.782,202.95,1.994
Tesla K20Xm,Memory,ONE_D,1.00663e+08,4,1,1,384,1985.37,268.364,0.003,93.067,203.606,1.987
Tesla K20Xm,Memory,ONE_D,1.00663e+08,8,1,1,384,1986.53,268.757,0.004,47.192,202.885,1.947
Tesla K20Xm,Memory,ONE_D,1.00663e+08,16,1,1,384,1991.24,268.72,0.003,24.207,202.979,1.986
Tesla K20Xm,Memory,ONE_D,1.00663e+08,32,1,1,384,1986.07,268.417,0.004,12.856,202.838,1.991
Tesla K20Xm,Memory,ONE_D,1.00663e+08,64,1,1,384,1984.85,268.295,0.003,7.542,202.905,1.958
Tesla K20Xm,Memory,ONE_D,1.00663e+08,128,1,1,384,1985,269.06,0.003,5.6,202.839,2.04
Tesla K20Xm,Memory,ONE_D,1.00663e+08,256,1,1,384,1984.9,268.3,0.003,5.599,202.942,1.963
Tesla K20Xm,Memory,ONE_D,1.00663e+08,512,1,1,384,1985.21,268.518,0.005,5.733,202.95,1.931
Tesla K20Xm,Memory,ONE_D,1.00663e+08,1024,1,1,384,1986.27,268.382,0.004,5.806,202.885,1.944
