device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,1,1,11.9973,331.496,0.66,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,2,1,11.9973,266.444,0.644,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,4,1,11.9973,266.09,0.648,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,8,1,11.9973,266.365,0.641,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,16,1,11.9973,266.211,0.639,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,32,1,11.9973,267.635,0.636,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,64,1,11.9973,266.087,0.664,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,128,1,11.9973,266.532,0.642,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,256,1,11.9973,266.385,0.638,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,512,1,11.9973,266.157,0.643,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,1024,1,11.9973,266.22,0.642,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,1,1,11.9973,266.323,0.647,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,2,1,11.9973,267.476,0.635,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,4,1,11.9973,266.303,0.635,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,8,1,11.9973,266.293,0.648,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,16,1,11.9973,266.122,0.648,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,32,1,11.9973,267.064,0.633,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,64,1,11.9973,266.238,0.638,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,128,1,11.9973,266.193,0.632,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,256,1,11.9973,266.333,0.631,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,512,1,11.9973,267.427,0.637,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,1,1,11.9973,265.862,0.642,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,2,1,11.9973,266.481,0.638,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,4,1,11.9973,266.369,0.636,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,8,1,11.9973,266.149,0.643,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,16,1,11.9973,266.136,0.649,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,32,1,11.9973,266.312,0.638,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,64,1,11.9973,267.092,0.695,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,128,1,11.9973,266.113,0.642,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,256,1,11.9973,266.245,0.65,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,8,1,1,11.9973,266.207,0.649,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,8,2,1,11.9973,266.496,0.64,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,8,4,1,11.9973,265.859,0.648,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,8,8,1,11.9973,266.134,0.637,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,8,16,1,11.9973,266.192,0.642,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,8,32,1,11.9973,266.916,0.645,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,8,64,1,11.9973,266.093,0.65,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,8,128,1,11.9973,266.212,0.64,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,16,1,1,11.9973,266.207,0.64,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,16,2,1,11.9973,265.911,0.646,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,16,4,1,11.9973,266.707,0.642,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,16,8,1,11.9973,266.558,0.641,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,16,16,1,11.9973,267.207,0.645,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,16,32,1,11.9973,266.084,0.647,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,16,64,1,11.9973,266.263,0.652,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,32,1,1,11.9973,266.058,0.651,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,32,2,1,11.9973,266.392,0.648,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,32,4,1,11.9973,266.153,0.648,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,32,8,1,11.9973,266.258,0.64,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,32,16,1,11.9973,266.467,0.657,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,32,32,1,11.9973,266.792,0.637,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,64,1,1,11.9973,265.921,0.652,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,64,2,1,11.9973,266.283,0.636,0.014,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,64,4,1,11.9973,266.665,0.625,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,64,8,1,11.9973,266.127,0.655,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,64,16,1,11.9973,266.2,0.639,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,128,1,1,11.9973,266.182,0.637,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,128,2,1,11.9973,267.181,0.648,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,128,4,1,11.9973,266.156,0.632,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,128,8,1,11.9973,266.248,0.636,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,256,1,1,11.9973,266.162,0.646,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,256,2,1,11.9973,266.256,0.633,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,256,4,1,11.9973,266.182,0.648,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,512,1,1,11.9973,266.266,0.666,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,512,2,1,11.9973,266.871,0.653,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1024,1,1,11.9973,266.729,0.635,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,1,1,11.9973,266.721,0.689,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,2,1,11.9973,267.443,0.67,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,4,1,11.9973,267.576,0.658,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,8,1,11.9973,268.616,0.655,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,16,1,11.9973,267.545,0.651,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,32,1,11.9973,267.528,0.654,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,64,1,11.9973,267.58,0.67,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,128,1,11.9973,267.603,0.647,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,256,1,11.9973,267.525,0.665,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,512,1,11.9973,267.531,0.653,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,1,1024,1,11.9973,268.297,0.66,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,1,1,11.9973,267.862,0.66,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,2,1,11.9973,267.43,0.65,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,4,1,11.9973,267.373,0.656,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,8,1,11.9973,267.618,0.648,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,16,1,11.9973,267.415,0.655,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,32,1,11.9973,267.315,0.658,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,64,1,11.9973,267.371,0.655,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,128,1,11.9973,268.223,0.652,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,256,1,11.9973,267.432,0.66,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,2,512,1,11.9973,267.334,0.651,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,1,1,11.9973,267.537,0.65,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,2,1,11.9973,267.367,0.651,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,4,1,11.9973,267.724,0.653,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,8,1,11.9973,267.779,0.661,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,16,1,11.9973,268.376,0.651,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,32,1,11.9973,267.241,0.645,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,64,1,11.9973,267.35,0.674,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,128,1,11.9973,267.222,0.645,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,4,256,1,11.9973,267.562,0.654,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,8,1,1,11.9973,267.385,0.658,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,8,2,1,11.9973,267.313,0.657,0.004,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,8,4,1,11.9973,267.91,0.645,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,627,1254,4,8,8,1,11.9973,267.878,0.653,0.003,-1,-1,-1
