device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,1,1,1,38,209.602,30.876,0.003,12.649,21.395,9.057
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,2,1,1,38,203.85,30.848,0.003,10.261,11.022,7.738
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,4,1,1,38,200.103,30.774,0.003,8.779,5.831,7.174
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,8,1,1,38,198.215,30.797,0.003,7.869,3.19,6.827
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,16,1,1,38,196.555,30.745,0.003,7.38,1.906,6.646
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,32,1,1,38,196.137,30.751,0.002,7.073,1.479,6.596
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,64,1,1,38,196.146,30.775,0.002,6.981,1.292,6.572
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,128,1,1,38,196.996,30.79,0.002,6.919,1.197,6.572
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,256,1,1,38,196.088,30.735,0.002,7.069,1.2,6.594
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,512,1,1,38,196.006,30.84,0.003,7.049,1.093,6.622
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,1024,1,1,38,196.112,30.727,0.015,7.127,1.098,6.561
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,1,1,1,38,215.195,30.377,0.003,12.58,20.97,8.002
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,2,1,1,38,203.943,30.547,0.003,10.249,10.828,6.799
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,4,1,1,38,201.806,30.409,0.003,8.801,5.694,6.251
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,8,1,1,38,197.693,30.415,0.002,7.876,3.136,5.923
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,16,1,1,38,196.181,30.369,0.003,7.348,1.853,5.784
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,32,1,1,38,195.903,30.364,0.002,7.1,1.455,5.712
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,64,1,1,38,196.873,30.973,0.003,6.95,1.252,5.725
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,128,1,1,38,195.805,30.423,0.003,6.975,1.132,5.716
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,256,1,1,38,195.766,30.284,0.003,6.961,1.121,5.743
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,512,1,1,38,195.801,30.388,0.002,7.021,1.084,5.733
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,1024,1,1,38,196.725,30.8,0.002,7.13,1.077,5.722
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,1,1,1,38,210.449,30.973,0.003,12.582,21.061,8.321
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,2,1,1,38,200.952,31.428,0.004,10.246,10.836,7.184
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,4,1,1,38,198.415,30.827,0.004,8.791,5.618,6.648
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,8,1,1,38,197.046,30.784,0.004,7.848,3.017,6.405
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,16,1,1,38,197.541,30.905,0.004,7.455,1.929,6.091
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,32,1,1,38,195.826,31.138,0.004,6.879,1.499,6.034
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,64,1,1,38,195.71,30.771,0.003,6.971,1.322,6.027
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,128,1,1,38,195.849,30.674,0.003,6.92,1.222,6.041
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,256,1,1,38,195.966,30.734,0.004,6.986,1.206,6.04
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,512,1,1,38,195.658,30.756,0.004,7.05,1.161,6.046
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,1024,1,1,38,195.735,30.746,0.004,7.153,1.146,6.085
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,1,1,1,38,209.976,30.811,0.003,12.576,21.259,8.465
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,2,1,1,38,203.495,30.727,0.003,10.26,11.163,7.178
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,4,1,1,38,198.717,33.813,0.003,9.039,6.1,7.059
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,8,1,1,38,197.754,30.963,0.003,7.855,3.065,6.304
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,16,1,1,38,196.598,30.69,0.003,7.382,1.788,6.155
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,32,1,1,38,195.837,30.675,0.003,7.046,1.344,6.069
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,64,1,1,38,195.699,30.692,0.002,6.968,1.166,6.068
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,128,1,1,38,195.604,30.711,0.003,6.965,1.058,6.077
