device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,1,1,1,28,140.228,9.736,0.001,28.138,15.384,0.366
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,2,1,1,28,139.594,9.699,0.001,14.116,13.386,0.796
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,4,1,1,28,144.848,9.715,0.001,7.225,15.381,0.543
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,8,1,1,28,144.744,9.715,0.002,3.833,15.296,0.543
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,16,1,1,28,144.846,9.695,0.001,1.933,15.499,0.545
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,32,1,1,28,145.054,9.756,0.002,1.301,15.313,0.536
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,64,1,1,28,144.777,9.662,0.002,0.927,15.346,0.541
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,128,1,1,28,144.802,9.709,0.002,0.765,15.302,0.531
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,256,1,1,28,144.836,9.7,0.002,0.762,15.356,0.532
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,512,1,1,28,144.77,9.695,0.002,0.832,15.359,0.532
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,1024,1,1,28,145.359,9.752,0.002,0.574,15.385,0.543
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,1,1,1,28,143.45,9.67,0.001,28.099,12.663,0.772
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,2,1,1,28,145.573,9.905,0.002,14.081,14.452,0.588
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,4,1,1,28,144.684,9.727,0.001,7.207,14.522,0.574
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,8,1,1,28,144.701,9.687,0.001,3.6,14.418,0.589
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,16,1,1,28,144.561,9.703,0.002,2.112,14.408,0.588
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,32,1,1,28,144.633,9.682,0.001,1.28,14.423,0.567
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,64,1,1,28,144.593,9.693,0.001,0.884,14.54,0.593
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,128,1,1,28,145.392,9.717,0.002,0.739,14.484,0.596
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,256,1,1,28,144.896,9.685,0.001,0.737,14.471,0.594
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,512,1,1,28,144.723,9.671,0.001,0.551,14.572,0.602
Tesla K20Xm,SquareArray,ONE_D,7.34003e+06,1024,1,1,28,144.567,9.704,0.001,0.793,14.449,0.571
