device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,1,1,1,38,390.736,53.983,0.003,39.36,20.32,0.796
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,2,1,1,38,392.371,53.779,0.003,19.432,20.262,0.795
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,4,1,1,38,392.49,53.766,0.002,10.028,20.282,0.794
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,8,1,1,38,392.435,53.632,0.003,5.107,20.282,0.791
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,16,1,1,38,392.614,53.805,0.002,2.947,20.609,0.801
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,32,1,1,38,392.628,53.618,0.002,1.805,20.282,0.796
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,64,1,1,38,392.559,53.661,0.003,1.274,20.289,0.786
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,128,1,1,38,392.625,53.639,0.003,1.151,20.33,0.793
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,256,1,1,38,392.444,53.591,0.003,1.192,20.277,0.793
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,512,1,1,38,393.33,53.682,0.003,1.202,20.285,0.792
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,1024,1,1,38,392.478,53.61,0.002,1.211,20.315,0.833
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,1,1,1,38,391.21,26.598,0.003,39.161,18.791,0.758
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,2,1,1,38,393.446,26.413,0.003,19.705,18.555,0.754
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,4,1,1,38,393.96,26.84,0.003,9.817,19.037,0.757
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,8,1,1,38,397.725,26.293,0.003,5.331,18.54,0.771
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,16,1,1,38,393.499,26.352,0.003,2.952,18.611,0.769
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,32,1,1,38,394.45,26.394,0.003,1.851,18.583,0.764
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,64,1,1,38,394.427,26.297,0.003,1.266,18.653,0.768
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,128,1,1,38,394.98,26.298,0.003,1.149,18.55,0.761
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,256,1,1,38,393.493,26.31,0.003,1.171,18.569,0.77
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,512,1,1,38,394.498,26.413,0.003,1.17,18.546,0.774
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,1024,1,1,38,393.828,26.357,0.003,1.198,18.583,0.77
Tesla K20Xm,VectorAdd,ONE_D,9.96147e+06,1,1,1,38,390.28,26.391,0.003,39.127,18.576,0.596
