device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.085,0.001,1.085,0.085,0.014
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.08,0.001,0.888,0.079,0.013
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.081,0,0.655,0.078,0.013
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.091,0,0.515,0.08,0.012
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.095,0,0.532,0.078,0.013
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.096,0,0.395,0.081,0.013
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.078,0,0.371,0.079,0.012
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.08,0,0.347,0.078,0.012
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.08,0,0.33,0.077,0.012
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.08,0.001,0.355,0.08,0.012
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.08,0,0.355,0.08,0.012
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.085,0,1.095,0.124,0.013
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.083,0,0.604,0.12,0.013
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.08,0.001,0.359,0.119,0.012
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.082,0,0.24,0.122,0.017
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.097,0.001,0.173,0.121,0.013
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.082,0.001,0.166,0.119,0.013
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.081,0.001,0.158,0.122,0.012
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.083,0,0.16,0.12,0.012
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.081,0.001,0.157,0.121,0.012
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.08,0.001,0.158,0.121,0.012
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.081,0,0.171,0.117,0.012
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.085,0,1.08,0.082,0.014
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.082,0.001,0.598,0.081,0.013
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.083,0.001,0.353,0.078,0.012
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.082,0.001,0.25,0.08,0.013
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.097,0,0.175,0.095,0.012
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.083,0,0.157,0.078,0.013
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.082,0,0.147,0.078,0.012
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.081,0,0.148,0.079,0.012
