device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,1,1,36.564,0.002,7507.2,35.588,0.805
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,2,1,36.403,0.002,3810.03,35.543,0.76
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,4,1,36.27,0.003,2188.75,35.361,0.704
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,8,1,36.343,0.003,1482.54,35.575,0.711
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,16,1,36.384,0.003,1046.88,35.756,0.728
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,32,1,36.356,0.002,809.394,35.611,0.699
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,64,1,36.529,0.002,772.924,35.614,0.712
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,128,1,36.635,0.002,712.896,35.696,0.708
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,256,1,36.348,0.003,646.357,35.658,0.734
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,512,1,37.09,0.004,399.697,35.56,0.693
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,1024,1,36.506,0.002,480.91,35.729,0.771
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,1,1,36.405,0.003,3809.72,35.412,0.711
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,2,1,36.36,0.003,2188.54,35.809,0.7
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,4,1,36.422,0.003,1482.08,35.384,0.782
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,8,1,36.439,0.002,1046.63,35.317,0.704
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,16,1,37.149,0.003,809.571,35.555,0.722
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,32,1,36.564,0.003,772.792,35.581,0.699
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,64,1,36.55,0.002,712.747,35.643,0.693
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,128,1,36.389,0.003,646.006,35.561,0.705
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,256,1,36.5,0.003,399.284,36.081,0.702
