device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,1,1,87.539,0.003,269.176,124.571,1.602
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,2,1,87.487,0.003,146.628,124.483,1.553
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,4,1,87.44,0.003,78.344,124.587,1.556
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,8,1,87.464,0.003,45.756,124.505,1.566
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,16,1,87.378,0.003,31.47,124.411,1.598
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,32,1,87.368,0.003,24.567,125.008,1.605
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,64,1,87.3,0.003,22.576,125.024,1.564
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,128,1,87.269,0.003,22.609,125.247,1.556
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,256,1,87.514,0.003,23.401,124.74,1.571
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,512,1,88.453,0.003,24.94,124.597,1.56
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,1024,1,87.46,0.003,25.629,124.614,1.564
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,1,1,87.843,0.003,133.416,124.592,1.552
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,2,1,87.461,0.003,74.665,125.047,1.57
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,4,1,87.464,0.003,39.59,124.926,1.581
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,8,1,89.683,0.003,23.347,124.728,1.623
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,16,1,93.97,0.003,16.072,124.56,1.569
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,32,1,87.431,0.003,11.98,124.604,1.55
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,64,1,87.566,0.003,11.928,124.529,1.555
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,128,1,87.37,0.002,13.745,124.613,1.559
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,256,1,87.496,0.003,14.905,125.825,1.573
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,512,1,87.429,0.003,15.493,124.496,1.563
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,1,1,87.482,0.003,66.073,124.55,1.577
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,2,1,87.425,0.003,37.756,124.727,1.594
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,4,1,87.465,0.003,20.216,124.568,1.564
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,8,1,87.413,0.003,12.157,124.577,1.56
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,16,1,87.865,0.004,7.412,124.497,1.57
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,32,1,87.395,0.003,6.602,124.756,1.58
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,64,1,87.389,0.002,6.811,124.434,1.584
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,128,1,87.756,0.003,7.737,125.302,1.565
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,256,1,87.637,0.003,8.593,125.281,1.601
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,1,1,87.809,0.003,33.769,125.108,1.559
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,2,1,87.897,0.003,19.237,124.692,1.562
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,4,1,87.385,0.004,10.769,124.468,1.585
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,8,1,87.292,0.003,6.143,124.753,1.592
