device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.126,0,9849.18,0,0.093
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.851,0,4995.19,0.001,0.092
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.748,0.001,2625.61,0,0.098
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.737,0.001,1345.51,0,0.092
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.745,0.001,789.936,0,0.092
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.739,0,541.63,0,0.092
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.738,0,271.841,0.001,0.091
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.74,0.001,270.918,0,0.092
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.74,0.001,274.963,0,0.091
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.739,0,283.642,0,0.09
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.742,0.001,294.624,0,0.094
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.421,0.001,9848.43,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.951,0,4995.45,0,0.119
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.867,0.001,2625,0.001,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.739,0.001,1345.65,0,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.748,0.001,789.916,0.001,0.092
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.735,0.001,541.789,0,0.093
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.734,0.001,271.966,0,0.091
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.738,0.001,270.949,0,0.091
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.731,0.001,275.02,0,0.093
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.733,0.001,283.741,0,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.726,0.001,294.595,0,0.092
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.489,0,9858,0.001,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.822,0,5001.63,0,0.098
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.841,0,2628.23,0.001,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.743,0,1347.83,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.744,0.001,790.691,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.736,0.001,542.131,0,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.734,0.001,272.324,0,0.094
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.733,0.001,271.211,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.733,0.001,275.315,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.729,0,283.926,0.001,0.093
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.733,0.001,294.908,0,0.098
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.439,0.001,9848.42,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.835,0,4995.22,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.803,0.001,2624.74,0,0.094
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.734,0.001,1345.98,0,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.731,0.001,789.914,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.784,0.001,541.71,0,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.738,0.001,271.958,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.737,0.001,270.916,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.767,0.001,274.972,0,0.094
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.736,0.001,283.666,0,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.731,0.001,294.612,0,0.093
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.497,0,9848.71,0,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.899,0,4995.2,0.001,0.105
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.793,0.001,2625.61,0,0.106
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.791,0.001,1345.61,0,0.106
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.794,0.001,789.932,0.001,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.794,0.001,541.814,0,0.109
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.793,0,271.91,0.001,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.778,0.001,270.938,0.001,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.786,0.001,274.972,0.001,0.105
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.786,0.001,283.633,0,0.103
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.775,0.001,294.594,0,0.103
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.185,0,17093.7,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.738,0.001,8695.71,0,0.106
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.727,0.001,4605.44,0.001,0.098
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.714,0.001,2356.84,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.712,0,1376.25,0,0.101
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.713,0.001,948.107,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.719,0,475.982,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.714,0.001,475.452,0.001,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.714,0,480.599,0,0.095
