device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,1.534,0.004,1.478,1.067,0.28
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.254,0,0.942,0.621,0.238
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.256,0.001,0.642,0.59,0.226
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.255,0.001,0.512,0.597,0.244
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.256,0.001,0.403,0.606,0.225
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.253,0.001,0.409,0.599,0.226
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.261,0,0.362,0.599,0.225
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.252,0.001,0.377,0.595,0.224
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.25,0.001,0.36,0.592,0.224
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.255,0.001,0.356,0.594,0.227
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.252,0.001,0.382,0.594,0.236
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,2.427,0.005,1.392,1.106,0.289
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.941,0.001,0.854,0.635,0.253
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.931,0.001,0.709,0.637,0.252
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.947,0,0.599,0.637,0.246
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.943,0.001,0.411,0.639,0.246
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.933,0,0.381,0.646,0.247
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.925,0.001,0.37,0.619,0.262
