kernel/C,device/C,x/I,y/I,z/I,mb/F,time/F
NoMemory,NvidiaRuntime - Tesla K20Xm,256,1,1,44.0,0.0280000008643
Reduction,NvidiaRuntime - Tesla K20Xm,128,1,1,36.0,12.0439996719
LUDecomposition,NvidiaRuntime - Tesla K20Xm,1024,1,1,40.0,10501.0996094
MatrixTranspose,NvidiaRuntime - Tesla K20Xm,1,1,1,27.0,29.5389995575
NoMemory,NvidiaRuntime - Tesla K20Xm,64,1,1,20.0,0.0480000004172
FluidSimulation,NvidiaRuntime - Tesla K20Xm,2,1,1,24.0,1116.40002441
VectorAdd,NvidiaRuntime - Tesla K20Xm,256,1,1,28.0,28.7439994812
FloydWarshall,NvidiaRuntime - Tesla K20Xm,2,2,1,39.0,172589.0
LUDecomposition,NvidiaRuntime - Tesla K20Xm,128,4,1,12.0,1747.43005371
MatrixMultiplication,NvidiaRuntime - Tesla K20Xm,1,1,1,19.0,12964.2998047
MatrixTranspose,NvidiaRuntime - Tesla K20Xm,2,2,1,39.0,42.5800018311
MonteCarloAsian,NvidiaRuntime - Tesla K20Xm,2,4,1,20.022600174,3422.85009766
FluidSimulation,NvidiaRuntime - Tesla K20Xm,1,1,1,44.0,2062.70996094
FloydWarshall,NvidiaRuntime - Tesla K20Xm,1,1,1,11.0,28289.0
VectorAdd,NvidiaRuntime - Tesla K20Xm,128,1,1,36.0,37.1139984131
MatrixTranspose,NvidiaRuntime - Tesla K20Xm,4,4,1,43.0,46.8709983826
SquareArray,NvidiaRuntime - Tesla K20Xm,128,1,1,44.0,44.1650009155
FloydWarshall,NvidiaRuntime - Tesla K20Xm,4,4,1,43.0,199037.0
Convolution,NvidiaRuntime - Tesla K20Xm,1,1,1,19.0,26727.5
MatrixTranspose,NvidiaRuntime - Tesla K20Xm,4,4,1,23.0,25.4810009003
Empty,NvidiaRuntime - Tesla K20Xm,128,1,1,28.0,0.0909999981523
Empty,NvidiaRuntime - Tesla K20Xm,32,1,1,24.0,0.0839999988675
FluidSimulation,NvidiaRuntime - Tesla K20Xm,8,1,1,16.0,743.770996094
MatrixMultiplication,NvidiaRuntime - Tesla K20Xm,8,8,1,7.0,3219.12011719
Reduction,NvidiaRuntime - Tesla K20Xm,64,1,1,32.0,10.7110004425
Convolution,NvidiaRuntime - Tesla K20Xm,4,1,1,39.0,53851.3007812
FluidSimulation,NvidiaRuntime - Tesla K20Xm,256,1,1,8.0,375.760986328
SquareArray,NvidiaRuntime - Tesla K20Xm,1024,1,1,12.0,12.2279996872
Array3dAverage,NvidiaRuntime - Tesla K20Xm,32,2,2,3.375,2.19199991226
MonteCarloAsian,NvidiaRuntime - Tesla K20Xm,64,2,1,8.0,1365.44995117
Array3dAverage,NvidiaRuntime - Tesla K20Xm,64,2,1,1.0,0.550000011921
Empty,NvidiaRuntime - Tesla K20Xm,64,1,1,36.0,0.423000007868
NoMemory,NvidiaRuntime - Tesla K20Xm,256,1,1,8.0,0.0280000008643
NoMemory,NvidiaRuntime - Tesla K20Xm,256,1,1,4.0,0.0280000008643
FloydWarshall,NvidiaRuntime - Tesla K20Xm,4,4,1,23.0,79998.3984375
NoMemory,NvidiaRuntime - Tesla K20Xm,256,1,1,12.0,0.0280000008643
MonteCarloAsian,NvidiaRuntime - Tesla K20Xm,1,2,1,11.997300148,2046.5
MatrixMultiplication,NvidiaRuntime - Tesla K20Xm,4,4,1,43.0,42822.0
MatrixMultiplication,NvidiaRuntime - Tesla K20Xm,2,2,1,39.0,36876.1992188
Array3dAverage,NvidiaRuntime - Tesla K20Xm,8,8,2,38.4434013367,40.6489982605
FluidSimulation,NvidiaRuntime - Tesla K20Xm,1,1,1,20.0,939.189025879
MonteCarloAsian,NvidiaRuntime - Tesla K20Xm,2,4,1,28.007900238,4785.60009766
MatrixTranspose,NvidiaRuntime - Tesla K20Xm,64,4,1,16.0,16.9309997559
Convolution,NvidiaRuntime - Tesla K20Xm,1024,1,1,4.0,5259.12988281
Array3dAverage,NvidiaRuntime - Tesla K20Xm,32,4,1,8.0,26.0699996948
MonteCarloAsian,NvidiaRuntime - Tesla K20Xm,2,4,1,3.99915003777,683.184020996
Convolution,NvidiaRuntime - Tesla K20Xm,1,1,1,11.0,15971.7998047
Array3dAverage,NvidiaRuntime - Tesla K20Xm,2,2,2,27.8526000977,89.9530029297
Array3dAverage,NvidiaRuntime - Tesla K20Xm,4,4,4,19.410900116,35.8650016785
Array3dAverage,NvidiaRuntime - Tesla K20Xm,1,1,1,3.93028998375,12.8159999847
VectorAdd,NvidiaRuntime - Tesla K20Xm,128,1,1,20.0,20.7999992371
FloydWarshall,NvidiaRuntime - Tesla K20Xm,1,1,1,19.0,60830.0
Array3dAverage,NvidiaRuntime - Tesla K20Xm,2,2,2,35.3278999329,65.6220016479
Array3dAverage,NvidiaRuntime - Tesla K20Xm,16,8,1,11.3906002045,11.9010000229
MatrixTranspose,NvidiaRuntime - Tesla K20Xm,8,8,1,7.0,8.72399997711
MonteCarloAsian,NvidiaRuntime - Tesla K20Xm,4,32,1,32.0,5473.60009766
FluidSimulation,NvidiaRuntime - Tesla K20Xm,4,1,1,36.0,1689.38000488
SquareArray,NvidiaRuntime - Tesla K20Xm,512,1,1,4.0,4.34399986267
VectorAdd,NvidiaRuntime - Tesla K20Xm,128,1,1,12.0,12.5799999237
SquareArray,NvidiaRuntime - Tesla K20Xm,512,1,1,28.0,27.9769992828
FloydWarshall,NvidiaRuntime - Tesla K20Xm,32,4,1,16.0,43598.3984375
Reduction,NvidiaRuntime - Tesla K20Xm,64,1,1,24.0,8.0389995575
MatrixTranspose,NvidiaRuntime - Tesla K20Xm,16,16,1,31.0,34.1020011902
Array3dAverage,NvidiaRuntime - Tesla K20Xm,16,8,1,34.3280982971,36.3779983521
Array3dAverage,NvidiaRuntime - Tesla K20Xm,0,0,0,0.00195311999414,-1.0
Array3dAverage,NvidiaRuntime - Tesla K20Xm,32,4,1,27.0,28.3549995422
Reduction,NvidiaRuntime - Tesla K20Xm,128,1,1,8.0,2.82999992371
Array3dAverage,NvidiaRuntime - Tesla K20Xm,2,2,2,11.8718996048,38.5260009766
FloydWarshall,NvidiaRuntime - Tesla K20Xm,32,4,1,4.0,5473.14990234
FloydWarshall,NvidiaRuntime - Tesla K20Xm,8,8,1,7.0,15435.2998047
Array3dAverage,NvidiaRuntime - Tesla K20Xm,1,1,1,19.7513999939,63.9010009766
Reduction,NvidiaRuntime - Tesla K20Xm,64,1,1,40.0,13.3070001602
Convolution,NvidiaRuntime - Tesla K20Xm,16,1,1,23.0,32124.1992188
NoMemory,NvidiaRuntime - Tesla K20Xm,64,1,1,28.0,0.0469999983907
MatrixTranspose,NvidiaRuntime - Tesla K20Xm,16,8,1,4.0,4.52899980545
MatrixMultiplication,NvidiaRuntime - Tesla K20Xm,1,1,1,27.0,21544.9003906
FluidSimulation,NvidiaRuntime - Tesla K20Xm,2,1,1,12.0,560.523010254
Reduction,NvidiaRuntime - Tesla K20Xm,128,1,1,28.0,9.41199970245
LUDecomposition,NvidiaRuntime - Tesla K20Xm,128,2,1,3.0,342.898010254
MatrixMultiplication,NvidiaRuntime - Tesla K20Xm,4,4,1,23.0,17086.0996094
LUDecomposition,NvidiaRuntime - Tesla K20Xm,64,8,1,28.0,6142.22998047
Array3dAverage,NvidiaRuntime - Tesla K20Xm,8,8,2,18.0879001617,11.732000351
MatrixMultiplication,NvidiaRuntime - Tesla K20Xm,64,8,1,4.0,1149.08996582
SquareArray,NvidiaRuntime - Tesla K20Xm,1024,1,1,24.0,24.1739997864
Empty,NvidiaRuntime - Tesla K20Xm,128,1,1,40.0,0.082000002265
VectorAdd,NvidiaRuntime - Tesla K20Xm,256,1,1,4.0,4.45399999619
Array3dAverage,NvidiaRuntime - Tesla K20Xm,4,4,4,3.81469988823,7.08199977875
Reduction,NvidiaRuntime - Tesla K20Xm,128,1,1,20.0,6.72300004959
Array3dAverage,NvidiaRuntime - Tesla K20Xm,1,1,1,35.8349990845,115.939002991
Empty,NvidiaRuntime - Tesla K20Xm,512,1,1,44.0,0.0560000017285
MonteCarloAsian,NvidiaRuntime - Tesla K20Xm,1,2,1,24.0102996826,4103.72998047
NoMemory,NvidiaRuntime - Tesla K20Xm,512,1,1,24.0,0.0289999991655
VectorAdd,NvidiaRuntime - Tesla K20Xm,128,1,1,8.0,8.53100013733
Reduction,NvidiaRuntime - Tesla K20Xm,64,1,1,16.0,5.40899991989
FluidSimulation,NvidiaRuntime - Tesla K20Xm,2,1,1,40.0,1876.56005859
MatrixMultiplication,NvidiaRuntime - Tesla K20Xm,64,16,1,36.0,30714.6992188
Convolution,NvidiaRuntime - Tesla K20Xm,256,1,1,31.0,42905.3984375
FloydWarshall,NvidiaRuntime - Tesla K20Xm,32,4,1,36.0,147426.0
Empty,NvidiaRuntime - Tesla K20Xm,128,1,1,16.0,0.0769999995828
NoMemory,NvidiaRuntime - Tesla K20Xm,512,1,1,16.0,0.0280000008643
Array3dAverage,NvidiaRuntime - Tesla K20Xm,1,1,1,15.9197998047,51.5789985657
MatrixTranspose,NvidiaRuntime - Tesla K20Xm,1,1,1,11.0,12.9409999847
Array3dAverage,NvidiaRuntime - Tesla K20Xm,2,2,2,31.4423007965,58.4580001831
Reduction,NvidiaRuntime - Tesla K20Xm,128,1,1,4.0,1.53600001335
Array3dAverage,NvidiaRuntime - Tesla K20Xm,8,8,2,23.7637004852,76.59400177
FluidSimulation,NvidiaRuntime - Tesla K20Xm,4,1,1,28.0,1302.81005859
VectorAdd,NvidiaRuntime - Tesla K20Xm,128,1,1,32.0,33.0410003662
SquareArray,NvidiaRuntime - Tesla K20Xm,512,1,1,20.0,20.0100002289
