device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,4,1,64,835.229,44.743,0.004,5357.68,31.653,0.97
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,8,1,64,664.886,44.567,0.002,4153.01,31.579,0.997
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,16,1,64,663.737,44.562,0.003,3987.1,31.566,1.012
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,32,1,64,664.231,44.881,0.002,4052.87,31.54,1.036
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,64,1,64,663.789,44.511,0.002,4008.67,31.595,1.029
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,128,1,64,663.908,44.517,0.003,4025.28,31.617,1.032
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,256,1,64,664.839,44.409,0.002,3951.75,31.603,1.018
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,4,1,64,663.331,44.492,0.003,2837.93,31.627,1.02
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,8,1,64,664.7,44.588,0.003,2256.58,31.664,1.018
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,16,1,64,666.535,44.56,0.003,2292.12,31.597,1.022
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,32,1,64,666.845,44.487,0.002,2252.68,31.541,1.018
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,64,1,64,664.357,44.408,0.003,2229.9,31.633,1.026
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,128,1,64,664.634,44.559,0.003,2210.33,31.574,1.033
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,16,4,1,64,663.831,44.38,0.002,1491.73,31.67,1.019
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,16,8,1,64,663.871,44.641,0.003,1455.76,31.613,1.024
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,16,16,1,64,663.405,45.31,0.003,1391.38,31.641,1.027
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,16,32,1,64,665.407,44.496,0.003,1376.47,31.589,1.024
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,16,64,1,64,664.585,44.358,0.002,1343.55,31.55,1.029
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,4,1,64,664.892,44.515,0.003,1117.1,31.574,1.03
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,8,1,64,664.741,44.871,0.003,1071.68,31.668,1.025
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,16,1,64,663.759,44.922,0.002,1066.74,31.668,1.021
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,32,1,64,663.562,44.596,0.003,1059.1,31.667,1.02
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,64,4,1,64,664.146,44.523,0.003,1075.58,31.595,1.022
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,64,8,1,64,663.7,44.574,0.003,1071.28,31.578,1.015
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,64,16,1,64,664.167,44.344,0.003,1063.73,31.633,1.018
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,128,4,1,64,663.678,44.547,0.003,1073.91,30.874,1.065
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,128,8,1,64,663.647,44.351,0.006,1071.17,31.93,1.012
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,256,4,1,64,664.401,44.417,0.003,1075.58,31.682,1.021
device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,1,1,64,875.596,52.701,0.013,1257.52,35.169,1.06
device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,4,1,127,1326.71,88.255,0.003,15104.8,63.108,1.551
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,8,1,127,1328.02,88.237,0.003,11754.1,63.255,1.533
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,16,1,127,1326.99,88.08,0.003,11351.2,63.285,1.551
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,32,1,127,1328.13,88.211,0.002,11429.5,63.271,1.54
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,64,1,127,1327.89,88.08,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,128,1,127,1327.38,88.175,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,256,1,127,1331.46,88.246,0.002,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,8,4,1,127,1334.24,88.154,0.002,8023.76,63.407,1.521
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,8,8,1,127,1328.35,88.258,0.003,6410.24,63.354,1.575
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,8,16,1,127,1327.71,88.499,0.002,6488.83,63.33,1.553
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,8,32,1,127,1327.52,88.653,0.003,6374.3,63.291,1.555
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,8,64,1,127,1327.42,88.187,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,8,128,1,127,1328.96,88.178,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,16,4,1,127,1326.84,88.288,0.002,4207.76,63.411,1.545
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,16,8,1,127,1326.95,88.222,0.003,4075.84,63.47,1.544
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,16,16,1,127,1327.94,88.177,0.003,3940.33,63.297,1.554
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,16,32,1,127,1327.83,88.126,0.003,3897.59,63.281,1.553
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,16,64,1,127,1327.64,88.7,0.002,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,32,4,1,127,1327.31,88.185,0.003,3166.04,63.286,1.566
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,32,8,1,127,1327.29,89.016,0.003,3066.26,63.393,1.569
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,32,16,1,127,1328.47,88.149,0.002,3051.34,63.23,1.572
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,32,32,1,127,1328.14,88.608,0.003,3041.91,63.277,1.541
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,64,4,1,127,1326.96,88.282,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,64,8,1,127,1328.29,88.273,0.002,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,64,16,1,127,1327.72,88.37,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,128,4,1,127,1328.79,88.156,0.002,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,128,8,1,127,1326.87,88.199,0.002,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,256,4,1,127,1327.78,88.713,0.002,-1,-1,-1
device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,1,1,1,127,1327.73,94.484,0.01,3550.22,63.334,1.604
device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,4,4,1,191,1991.67,131.87,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,4,8,1,191,1991.92,131.798,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,4,16,1,191,1991.31,131.714,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,4,32,1,191,2002.37,131.737,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,4,64,1,191,1991.38,132.015,0.002,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,4,128,1,191,1991.38,131.796,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,4,256,1,191,1991.52,131.894,0.002,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,8,4,1,191,1991.4,131.676,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,8,8,1,191,1991.89,132.503,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,8,16,1,191,1992.02,131.945,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,8,32,1,191,1991.75,131.845,0.002,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,8,64,1,191,1991.57,131.81,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,8,128,1,191,1992.46,131.827,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,16,4,1,191,1991.63,131.823,0.006,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,16,8,1,191,1991.98,131.849,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,16,16,1,191,1991.58,131.936,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,16,32,1,191,1991.28,131.95,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,16,64,1,191,1992.04,132.797,0.002,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,32,4,1,191,1990.82,131.819,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,32,8,1,191,1990.76,131.754,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,32,16,1,191,1990.69,132.079,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,32,32,1,191,1990.88,131.814,0.002,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,64,4,1,191,1990.56,131.842,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,64,8,1,191,1991.23,131.806,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,64,16,1,191,1990.53,131.678,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,128,4,1,191,1993.04,131.847,0.002,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,128,8,1,191,1999.46,132.816,0.002,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,256,4,1,191,1990.91,131.895,0.002,-1,-1,-1
device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,7094,7094,7094,1,1,1,191,1990.47,130.879,0.012,7562.68,94.369,2.026
device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,4,1,256,2653.34,175.246,0.003,42740,125.935,2.225
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,8,1,256,2655.97,175.24,0.003,33270.4,126.571,2.17
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,16,1,256,2655.59,175.369,0.002,32510,125.529,2.183
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,32,1,256,2655.31,175.415,0.003,32580.5,125.967,2.274
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,64,1,256,2652.74,175.331,0.002,32802.9,125.48,2.198
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,128,1,256,2653.43,175.184,0.003,32868.1,125.502,2.201
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,4,256,1,256,2653.65,175.044,0.004,31578.7,125.662,2.3
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,8,4,1,256,2653.81,176.342,0.003,22643.5,125.794,2.29
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,8,8,1,256,2660.17,188.567,0.003,18227.6,127.937,2.26
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,8,16,1,256,2653.7,175.091,0.003,18452.6,125.847,2.245
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,8,32,1,256,2655.82,174.935,0.003,18264.5,125.577,2.261
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,8,64,1,256,2653.45,175.434,0.002,18203.3,125.706,2.189
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,8,128,1,256,2654.36,175.063,0.002,17675.2,125.698,2.293
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,16,4,1,256,2655.14,175.209,0.002,11906.6,125.752,2.221
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,16,8,1,256,2655.21,175.743,0.003,11580.2,124.795,2.239
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,16,16,1,256,2655.26,174.966,0.003,11236.3,126.802,2.229
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,16,32,1,256,2655.43,175.104,0.002,11069.1,126.585,2.182
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,16,64,1,256,2654.49,175.17,0.003,10710.9,125.686,2.195
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,32,4,1,256,2655.82,174.928,0.003,9248.21,126.147,2.213
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,32,8,1,256,2656.85,175.188,0.002,8599.26,125.651,2.188
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,32,16,1,256,2657.44,175.253,0.003,8556.53,126.156,2.195
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,32,32,1,256,2655.85,175.184,0.003,8467.35,125.904,2.236
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,64,4,1,256,2655.78,175.449,0.002,8629.85,127.162,2.182
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,64,8,1,256,2655.42,175.069,0.003,8582.83,126.035,2.167
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,64,16,1,256,2666.09,175.052,0.002,8504.08,126.187,2.234
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,128,4,1,256,2656.4,175.325,0.003,8604.51,125.741,2.18
Tesla K20Xm,MatrixMultiplication,TWO_D,8192,8192,8192,128,8,1,256,2656.74,175.145,0.003,8579.87,125.621,2.218
