device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,1,1,23.7637,234.981,8.097,0.003,28.542,8.234,2.635
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,1,2,23.7637,216.662,7.013,0.003,14.021,18.571,0.921
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,1,4,23.7637,217.542,7.029,0.001,7.268,19.272,0.949
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,1,8,23.7637,219.338,7.207,0.003,3.908,18.649,0.96
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,2,1,23.7637,240.989,7.973,0.002,15.037,9.687,3.079
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,2,2,23.7637,216.908,7.437,0.002,7.239,16.679,0.448
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,2,4,23.7637,216.177,7.391,0.002,3.969,19.137,1.029
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,2,8,23.7637,232.099,7.289,0.002,3.149,18.07,0.482
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,4,1,23.7637,239.537,7.916,0.001,8.254,9.646,3.007
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,4,2,23.7637,215.749,7.286,0.003,3.879,17.496,0.482
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,4,4,23.7637,218.74,7.321,0.003,3.279,18.004,0.475
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,4,8,23.7637,216.956,7.266,0.001,3.53,15.962,0.477
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,8,1,23.7637,235.772,7.431,0.002,4.85,10.004,2.771
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,8,2,23.7637,215.421,7.686,0.001,3.379,18.912,0.97
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,8,4,23.7637,216.953,7.702,0.003,3.582,18.623,0.458
