device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Empty,ONE_D,1,1,1,8,0,0,0,0.774,0,0.058
AMD Firepro W9100,Empty,ONE_D,2,1,1,8,0,0,0.001,0.318,0,0.02
AMD Firepro W9100,Empty,ONE_D,4,1,1,8,0,0,0,0.252,0.001,0.018
AMD Firepro W9100,Empty,ONE_D,8,1,1,8,0,0,0,0.249,0,0.021
AMD Firepro W9100,Empty,ONE_D,16,1,1,8,0.001,0,0,0.362,0.001,0.02
AMD Firepro W9100,Empty,ONE_D,32,1,1,8,0,0,0,0.247,0,0.019
AMD Firepro W9100,Empty,ONE_D,64,1,1,8,0,0.001,0,0.362,0,0.045
AMD Firepro W9100,Empty,ONE_D,128,1,1,8,0,0,0,0.313,0,0.019
AMD Firepro W9100,Empty,ONE_D,256,1,1,8,0,0,0,0.249,0,0.018
AMD Firepro W9100,Empty,ONE_D,1,1,1,8,0,0,0,0.614,0,0.03
AMD Firepro W9100,Empty,ONE_D,2,1,1,8,0,0,0,0.279,0,0.044
AMD Firepro W9100,Empty,ONE_D,4,1,1,8,0,0,0,0.332,0,0.022
AMD Firepro W9100,Empty,ONE_D,8,1,1,8,0,0,0,0.347,0,0.022
AMD Firepro W9100,Empty,ONE_D,16,1,1,8,0.001,0,0,0.345,0,0.022
AMD Firepro W9100,Empty,ONE_D,32,1,1,8,0,0,0,0.318,0,0.022
AMD Firepro W9100,Empty,ONE_D,64,1,1,8,0,0,0,0.311,0.001,0.022
AMD Firepro W9100,Empty,ONE_D,128,1,1,8,0,0,0,0.312,0,0.022
AMD Firepro W9100,Empty,ONE_D,256,1,1,8,0,0,0,0.358,0.001,0.024
AMD Firepro W9100,Empty,ONE_D,1,1,1,8,0,0,0,0.806,0,0.103
AMD Firepro W9100,Empty,ONE_D,2,1,1,8,0,0,0,0.424,0,0.052
AMD Firepro W9100,Empty,ONE_D,4,1,1,8,0,0,0,0.414,0.001,0.053
AMD Firepro W9100,Empty,ONE_D,8,1,1,8,0,0,0,0.402,0,0.05
AMD Firepro W9100,Empty,ONE_D,16,1,1,8,0,0,0,0.403,0.001,0.048
AMD Firepro W9100,Empty,ONE_D,32,1,1,8,0,0,0,0.401,0,0.027
AMD Firepro W9100,Empty,ONE_D,64,1,1,8,0,0,0,0.386,0,0.026
AMD Firepro W9100,Empty,ONE_D,128,1,1,8,0,0,0,0.408,0,0.027
AMD Firepro W9100,Empty,ONE_D,256,1,1,8,0,0,0,0.377,0,0.028
AMD Firepro W9100,Empty,ONE_D,1,1,1,8,0.001,0,0,0.711,0,0.056
AMD Firepro W9100,Empty,ONE_D,2,1,1,8,0,0,0,0.302,0.001,0.023
AMD Firepro W9100,Empty,ONE_D,4,1,1,8,0,0,0,0.267,0.001,0.023
AMD Firepro W9100,Empty,ONE_D,8,1,1,8,0,0,0,0.292,0,0.023
AMD Firepro W9100,Empty,ONE_D,16,1,1,8,0,0.001,0,0.354,0,0.023
AMD Firepro W9100,Empty,ONE_D,32,1,1,8,0,0,0,0.347,0,0.023
AMD Firepro W9100,Empty,ONE_D,64,1,1,8,0.001,0,0.001,0.335,0,0.023
AMD Firepro W9100,Empty,ONE_D,128,1,1,8,0,0.001,0,0.261,0.001,0.04
AMD Firepro W9100,Empty,ONE_D,256,1,1,8,0,0.001,0,0.323,0,0.022
AMD Firepro W9100,Empty,ONE_D,1,1,1,8,0,0.001,0,0.75,0.001,0.029
AMD Firepro W9100,Empty,ONE_D,2,1,1,8,0.001,0.001,0,0.303,0.001,0.023
AMD Firepro W9100,Empty,ONE_D,4,1,1,8,0,0,0,0.349,0.001,0.022
AMD Firepro W9100,Empty,ONE_D,8,1,1,8,0.001,0,0,0.284,0.001,0.022
AMD Firepro W9100,Empty,ONE_D,16,1,1,8,0,0,0,0.23,0,0.022
AMD Firepro W9100,Empty,ONE_D,32,1,1,8,0.001,0.001,0,0.257,0,0.023
AMD Firepro W9100,Empty,ONE_D,64,1,1,8,0,0,0,0.311,0.001,0.022
AMD Firepro W9100,Empty,ONE_D,128,1,1,8,0,0,0,0.348,0.001,0.022
AMD Firepro W9100,Empty,ONE_D,256,1,1,8,0.001,0,0.001,0.342,0.001,0.022
AMD Firepro W9100,Empty,ONE_D,1,1,1,8,0,0,0,0.617,0.001,0.03
