device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,242.871,51.964,0.007,540.277,0.001,9.82
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,244.314,53.237,0.004,470.636,0.002,8.718
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,244.381,54.663,0.004,431.937,0.001,8.711
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,243.959,54.526,0.004,422.973,0.001,8.724
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,244.497,54.676,0.005,433.679,0.002,8.742
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,244.321,54.569,0.018,442.28,0.001,8.758
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,246.496,55.203,0.007,439.034,0.001,8.725
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,244.211,53.623,0.004,433.724,0.001,8.721
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,244.011,53.625,0.004,433.668,0.001,8.793
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,246.657,53.594,0.005,533.923,0.001,10.21
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,244.314,55.786,0.007,478.756,0.001,9.127
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,247.494,54.318,0.007,439.194,0.001,9.149
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,244.265,53.356,0.004,432.926,0.001,9.158
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,244.751,53.61,0.003,430.55,0.002,9.144
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,244.405,47.359,0.004,438.912,0.001,9.117
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,244.229,47.854,0.006,431.804,0.002,9.177
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,244.977,53.246,0.004,431.749,0.002,9.261
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,252.289,55.01,0.004,433.714,0.001,9.141
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,251,55.236,0.004,529.253,0.001,10.32
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,252.312,51.593,0.007,474.367,0.001,9.456
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,252.462,52.632,0.006,433.882,0.002,9.524
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,252.378,53.376,0.004,427.463,0.002,9.462
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,252.43,51.193,0.004,434.659,0.001,9.471
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,252.272,53.247,0.004,434.579,0.002,9.49
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,252.695,54.507,0.007,443.836,0.002,9.584
