device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,1,1,1,33,180.08,10.356,0.018,41.093,21.189,2.185
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,1,2,1,33,179.747,8.463,0.005,20.764,23.656,1.649
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,1,4,1,33,182.487,10.11,0.018,11.273,20.643,2.064
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,1,8,1,33,179.278,8.206,0.004,6.334,21.251,1.558
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,1,16,1,33,180.927,8.795,0.004,3.829,23.038,2.029
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,1,32,1,33,181.857,8.878,0.003,2.804,22.891,1.757
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,1,64,1,33,182.099,10.215,0.018,2.895,23.772,1.891
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,1,128,1,33,183.154,8.872,0.004,2.78,22.664,1.765
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,1,256,1,33,182.863,10.406,0.004,3.033,23.366,2.14
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,2,1,1,33,181.633,8.83,0.004,20.724,20.539,2.025
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,2,2,1,33,179.404,8.47,0.004,11.08,19.742,1.624
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,2,4,1,33,178.377,8.473,0.003,6.264,21.656,2.008
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,2,8,1,33,181.349,8.849,0.004,4.342,22.454,2.066
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,2,16,1,33,181.618,8.849,0.004,2.57,22.421,1.777
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,2,32,1,33,182.882,10.437,0.017,2.364,23.993,2.179
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,2,64,1,33,181.622,10.316,0.018,2.394,23.569,2.132
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,2,128,1,33,182.472,8.847,0.003,2.144,21.87,1.76
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,4,1,1,33,183.861,10.3,0.003,11.278,20.065,2.126
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,4,2,1,33,178.834,8.797,0.004,6.24,22.009,2.002
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,4,4,1,33,180.383,8.724,0.004,3.864,23.142,2.028
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,4,8,1,33,181.581,8.818,0.004,2.696,22.434,1.767
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,4,16,1,33,183.126,10.26,0.004,2.181,24.094,2.203
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,4,32,1,33,182.24,8.8,0.004,1.838,21.396,1.84
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,4,64,1,33,184.274,10.035,0.017,1.914,23.972,2.181
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,8,1,1,33,182.957,10.522,0.018,6.446,22.166,1.924
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,8,2,1,33,181.169,8.641,0.004,3.835,22.559,1.994
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,8,4,1,33,182.305,8.893,0.005,2.569,23.31,1.904
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,8,8,1,33,182.229,10.31,0.004,2.287,23.356,1.947
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,8,16,1,33,182.157,10.171,0.004,1.836,23.89,2.175
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,8,32,1,33,182.372,8.868,0.004,1.614,21.357,2.029
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,16,1,1,33,179.727,10.588,0.004,3.954,24.578,2.16
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,16,2,1,33,183.214,10.356,0.003,2.793,24.064,2.152
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,16,4,1,33,181.784,10.229,0.004,2.232,23.714,1.199
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,16,8,1,33,182.205,10.4,0.004,2.447,23.704,2.07
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,16,16,1,33,181.871,10.374,0.004,1.832,23.808,1.982
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,32,1,1,33,182.589,8.793,0.004,2.604,22.495,2.048
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,32,2,1,33,184.172,8.807,0.004,1.939,22.04,2.047
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,32,4,1,33,190.2,10.291,0.004,1.824,24.565,2.168
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,32,8,1,33,179.015,10.309,0.018,1.951,25.551,1.128
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,64,1,1,33,179.316,8.988,0.003,2.313,23.725,1.693
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,64,2,1,33,181.573,10.336,0.019,1.828,23.694,1.852
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,64,4,1,33,182.263,10.351,0.004,1.903,23.586,1.854
AMD Firepro W9100,MatrixTranspose,TWO_D,2985,2985,128,1,1,33,182.596,8.873,0.004,1.606,21.508,2.058
