device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,1,1,1,64,331.594,17.211,0.003,76.23,32.499,6.663
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,2,1,1,64,336.003,17.709,0.005,41.253,36.097,8.372
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,4,1,1,64,336.68,17.865,0.006,22.869,33.393,6.377
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,8,1,1,64,331.861,18.652,0.002,12.222,30.093,5.369
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,16,1,1,64,332.469,17.496,0.002,7.99,34.979,7.09
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,32,1,1,64,339.654,15.692,0.003,6.892,35.651,7.483
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,64,1,1,64,336.737,18.609,0.006,5.573,35.246,7.709
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,128,1,1,64,333.427,16.498,0.002,4.124,34.878,8.105
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,256,1,1,64,336.03,17.818,0.002,3.754,37.109,7.589
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,1,1,1,64,331.684,19.566,0.004,74.996,35.174,6.196
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,2,1,1,64,328.618,16.865,0.018,38.96,37.923,6.051
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,4,1,1,64,331.688,20.097,0.005,20.703,40.045,6.067
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,8,1,1,64,330.351,16.829,0.018,11.614,36.952,6.053
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,16,1,1,64,330.043,16.759,0.004,8.19,37.435,6.201
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,32,1,1,64,332.174,19.98,0.018,4.765,41.018,6.327
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,64,1,1,64,327.592,20.076,0.003,3.357,40.906,6.128
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,128,1,1,64,328.802,16.847,0.019,3.921,39.714,6.144
AMD Firepro W9100,Memory,ONE_D,1.67772e+07,256,1,1,64,331.319,16.918,0.004,3.309,41.046,6.479
