device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,1,1,1,12,69.103,11.486,0.002,384977,0.001,3.043
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,2,1,1,12,95.37,12.484,0.005,192179,0.002,0.163
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,4,1,1,12,84.291,10.081,0.003,96165.6,0.002,0.163
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,8,1,1,12,91.941,11.901,0.003,48113.4,0.001,0.174
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,16,1,1,12,93.042,12.56,0.02,24114.8,0,0.134
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,32,1,1,12,92.315,11.976,0.004,12078.9,0,0.162
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,64,1,1,12,89.806,15.679,0.021,6533.94,0,0.119
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,128,1,1,12,89.808,16.012,0.002,6592.83,0,0.123
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,256,1,1,12,90.444,18.846,0.002,6644.53,0.001,0.126
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,1,1,1,12,68.17,21.103,0.003,385202,0.001,1.989
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,2,1,1,12,94.834,11.871,0.004,192339,0.001,0.153
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,4,1,1,12,96.514,11.223,0.004,96162.6,0,0.181
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,8,1,1,12,90.691,12.362,0.019,48111,0,0.134
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,16,1,1,12,98.073,11.241,0.002,24110.7,0.001,0.136
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,32,1,1,12,93.184,11.606,0.002,12079.3,0,0.132
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,64,1,1,12,90.944,18.617,0.002,6530.35,0.001,0.132
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,128,1,1,12,85.003,16.812,0.003,6647.58,0,0.132
AMD Firepro W9100,NBody,ONE_D,786432,0.005,1,256,1,1,12,91.204,13.65,0.004,6807.21,0,0.131
