device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,1,1,1,38,195.334,9.652,0.003,44.843,27.821,2.571
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,2,1,1,38,197.878,11.597,0.002,23.432,27.354,2.512
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,4,1,1,38,197.353,11.404,0.002,12.557,24.062,2.804
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,8,1,1,38,198.39,11.357,0.002,7.113,25.147,2.803
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,16,1,1,38,194.454,11.379,0.002,4.421,25.954,2.766
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,32,1,1,38,194.678,11.423,0.001,3.802,26.446,2.781
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,64,1,1,38,195.343,11.362,0.002,2.354,27.258,2.789
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,128,1,1,38,195.79,11.261,0.002,1.868,24.283,2.823
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,256,1,1,38,198.365,11.378,0.002,1.948,27.83,2.406
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,1,1,1,38,195.378,9.66,0.002,45.465,24.608,2.255
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,2,1,1,38,193.873,11.577,0.001,23.4,26.203,2.347
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,4,1,1,38,197.08,11.216,0.001,12.463,26.171,1.546
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,8,1,1,38,197.304,11.345,0.001,7.128,25.137,2.329
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,16,1,1,38,194.393,11.105,0.002,5.178,26.087,2.321
AMD Firepro W9100,SquareArray,ONE_D,9.96147e+06,32,1,1,38,194.775,11.36,0.001,3.089,26.766,2.311
