device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,1,1,1,14,142.84,6.854,0.004,17.093,3.571,0.911
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,2,1,1,14,140.937,6.169,0.005,8.512,3.661,0.059
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,4,1,1,14,146.32,5.387,0.004,4.481,2.878,0.058
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,8,1,1,14,140.341,6.098,0.005,2.52,2.876,0.057
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,16,1,1,14,144.293,5.957,0.006,1.45,2.852,0.072
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,32,1,1,14,142.942,5.841,0.004,0.959,2.862,0.058
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,64,1,1,14,141.53,6.383,0.008,0.705,3.582,0.074
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,128,1,1,14,144.641,5.781,0.005,0.532,2.842,0.058
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,256,1,1,14,143.093,6.487,0.004,0.572,3.496,0.059
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,1,1,1,14,142.929,6.839,0.004,16.992,4.312,0.382
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,2,1,1,14,146.606,5.606,0.002,8.472,4.356,0.072
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,4,1,1,14,141.807,5.388,0.003,4.471,3.231,0.071
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,8,1,1,14,144.043,7.135,0.004,2.631,4.282,0.073
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,16,1,1,14,146.402,6.633,0.003,1.605,4.272,0.117
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,32,1,1,14,147.064,6.826,0.003,1.095,4.24,0.073
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,64,1,1,14,140.838,5.821,0.002,0.714,3.156,0.064
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,128,1,1,14,140.169,5.71,0.002,0.512,3.098,0.065
AMD Firepro W9100,VectorAdd,ONE_D,3.67002e+06,256,1,1,14,140.99,6.406,0.003,0.696,4.246,0.075
