device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,100,1,1,2,3.8147,33.099,2.085,0.001,7.37,1.651,0.169
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,100,1,1,4,3.8147,32.924,1.444,0.002,3.938,1.66,0.151
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,100,1,2,1,3.8147,43.877,2.262,0.001,9.015,1.902,0.169
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,100,1,2,2,3.8147,43.927,1.633,0.001,4.191,1.811,0.171
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,100,1,2,4,3.8147,43.83,1.7,0.001,3.398,1.798,0.162
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,100,1,4,1,3.8147,43.952,2.431,0.002,5.476,2.514,0.156
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,100,1,4,2,3.8147,47.402,2.082,0.001,3.553,2.61,0.179
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,100,1,4,4,3.8147,46.826,2.494,0.001,2.629,2.568,0.166
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,100,2,1,1,3.8147,50.206,2.655,0.001,12.352,1.914,0.152
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,100,2,1,2,3.8147,43.903,1.63,0.001,4.144,1.795,0.153
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,100,2,1,4,3.8147,43.918,1.63,0.001,2.673,1.761,0.144
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,100,2,2,1,3.8147,44.832,2.411,0.002,6.221,1.946,0.126
