device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,1,1,1,1,11.063,2.784,0.001,132.291,0.831,0.129
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,2,1,1,1,10.555,2.703,0,126.087,0.784,0.117
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,4,1,1,1,10.543,2.709,0.001,125.018,0.773,0.112
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,8,1,1,1,10.555,2.782,0.001,126.502,0.855,0.162
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,16,1,1,1,10.58,2.733,0.001,123.636,0.763,0.146
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,32,1,1,1,10.589,2.784,0,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,64,1,1,1,14.816,2.7,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,128,1,1,1,12.665,2.529,0,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,256,1,1,1,13.509,2.828,0,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,512,1,1,1,12.916,2.751,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,1024,1,1,1,12.179,2.542,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,1,1,1,1,14.47,1.934,0.002,137.493,0.526,0.147
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,2,1,1,1,10.096,1.098,0.001,132.795,0.506,0.158
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,4,1,1,1,10.129,1.26,0.001,133.376,0.524,0.149
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,8,1,1,1,10.094,1.281,0.001,131.171,0.508,0.15
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,16,1,1,1,10.229,1.794,0.001,134.466,0.489,0.105
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,32,1,1,1,10.132,1.169,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,64,1,1,1,10.039,0.913,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,128,1,1,1,10.043,0.915,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,256,1,1,1,10.041,1.458,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,512,1,1,1,10.078,0.924,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,724,724,64,64,1024,1,1,1,10.069,0.92,0,-1,-1,-1
