device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,1,1,1,25,135.301,14.182,0.004,87.81,15.996,1.12
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,1,2,1,25,177.385,15.289,0.003,60.19,15.887,1.254
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,1,4,1,25,177.73,15.299,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,1,8,1,25,173.433,15.094,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,1,16,1,25,173.23,15.086,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,1,32,1,25,173.289,15.117,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,1,64,1,25,173.255,15.089,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,1,128,1,25,173.357,15.142,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,1,256,1,25,173.496,15.188,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,1,512,1,25,170.826,12.374,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,1,1024,1,25,131.43,12.362,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,2,1,1,25,130.999,12.357,0.002,83.431,12.224,1.028
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,2,2,1,25,135.262,12.388,0.002,59.151,12.215,1.029
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,2,4,1,25,134.747,12.35,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,2,8,1,25,132.023,12.055,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,2,16,1,25,131.134,12.102,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2610,2610,2,32,1,25,131.567,12.075,0.002,-1,-1,-1
