device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,1,1,1,30.0312,664.574,0.086,0.002,1200.32,0.006,0.951
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,1,2,1,30.0312,660.17,0.052,0.002,1070.29,0.005,0.978
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,1,4,1,30.0312,660.08,0.051,0.002,1037.66,0.009,0.958
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,1,8,1,30.0312,659.54,0.08,0.001,968.104,0.006,0.982
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,1,16,1,30.0312,660.474,0.082,0.001,944.435,0.005,1.03
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,1,32,1,30.0312,660.387,0.079,0.002,945.534,0.007,1.032
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,1,64,1,30.0312,659.488,0.08,0.001,946.474,0.006,0.969
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,1,128,1,30.0312,659.739,0.08,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,1,256,1,30.0312,665.089,0.076,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,1,512,1,30.0312,660.383,0.082,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,1,1024,1,30.0312,663.765,0.078,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,2,1,1,30.0312,665.089,0.079,0.001,1069.46,0.009,0.869
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,2,2,1,30.0312,659.689,0.082,0.002,1033.75,0.006,0.749
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,2,4,1,30.0312,659.773,0.082,0.002,962.059,0.006,0.871
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,2,8,1,30.0312,660.049,0.079,0.002,934.015,0.006,0.885
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,2,16,1,30.0312,659.886,0.083,0.001,935.887,0.007,0.927
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,2,32,1,30.0312,660.491,0.077,0.001,946.625,0.007,0.9
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,2,64,1,30.0312,659.802,0.083,0.002,922.907,0.007,0.923
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,2,128,1,30.0312,662.385,0.082,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,2,256,1,30.0312,664.724,0.094,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,2,512,1,30.0312,661.412,0.076,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,4,1,1,30.0312,661.842,0.082,0.002,993.623,0.005,1.006
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,4,2,1,30.0312,660.114,0.078,0.002,950.889,0.007,0.991
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,4,4,1,30.0312,659.738,0.082,0.002,942.602,0.005,1.046
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,4,8,1,30.0312,660.714,0.082,0.002,931.596,0.005,0.981
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,4,16,1,30.0312,660.407,0.077,0.002,935.849,0.006,0.857
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,4,32,1,30.0312,659.829,0.079,0.002,931.725,0.006,0.882
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,4,64,1,30.0312,660.025,0.08,0.001,933.641,0.01,0.855
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,4,128,1,30.0312,659.674,0.081,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,4,256,1,30.0312,663.193,0.082,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,8,1,1,30.0312,664.236,0.079,0.002,954.184,0.005,0.855
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,8,2,1,30.0312,658.886,0.078,0.002,939.338,0.006,0.892
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,8,4,1,30.0312,659.847,0.081,0.001,927.804,0.005,0.923
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,8,8,1,30.0312,659.463,0.08,0.002,926.428,0.007,0.889
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,8,16,1,30.0312,660.652,0.08,0.001,923.675,0.006,0.864
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,8,32,1,30.0312,660.846,0.08,0.002,926.73,0.006,0.862
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,8,64,1,30.0312,665.304,0.075,0.001,929.557,0.006,0.872
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,8,128,1,30.0312,659.848,0.079,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,992,1984,4,16,1,1,30.0312,662.559,0.079,0.002,930.492,0.005,1.052
