device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,1,1,1,24,144.541,30.508,0.003,701108,0.001,0.637
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,2,1,1,24,138.361,21.603,0.002,701128,0.001,0.255
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,4,1,1,24,138.021,29.576,0.002,701264,0,0.232
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,8,1,1,24,137.731,28.674,0.013,701113,0.001,0.227
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,16,1,1,24,137.978,21.294,0.002,701160,0,1.167
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,32,1,1,24,137.946,21.119,0.003,701390,0.001,0.213
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,64,1,1,24,141.047,24.363,0.013,701612,0.001,0.649
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,128,1,1,24,143.293,26.679,0.002,702068,0.002,0.247
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,256,1,1,24,143.584,27.052,0.001,701962,0.002,0.29
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,512,1,1,24,141.804,24.855,0.002,702273,0.001,0.216
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,1024,1,1,24,142.854,26.828,0.002,701902,0.001,0.278
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,1,1,1,24,139.007,27.753,0.003,700917,0.001,1.286
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,2,1,1,24,134.816,25.81,0.002,700894,0.001,1.218
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,4,1,1,24,135.057,27.069,0.002,700911,0.001,1.229
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,8,1,1,24,134.767,25.975,0.003,700946,0.001,1.327
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,16,1,1,24,134.937,36.057,0.003,700984,0.001,1.268
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,32,1,1,24,134.941,28.729,0.003,701309,0,1.293
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,64,1,1,24,135.706,30.121,0.003,701383,0.002,1.468
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,128,1,1,24,137.599,30.34,0.002,702013,0.001,1.401
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,256,1,1,24,139.724,28.209,0.002,701631,0,1.341
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,512,1,1,24,134.821,23.518,0.002,702000,0.001,1.239
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.57286e+06,0.005,1,1024,1,1,24,146.309,24.846,0.002,702332,0.002,2.149
