device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,1,1,1,6,34.513,1.967,0.002,17.207,2.27,0.185
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,2,1,1,6,29.653,2.147,0.001,11.762,2.186,0.132
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,4,1,1,6,29.676,3.622,0.002,5.42,2.165,0.132
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,8,1,1,6,29.625,2.149,0.001,3.269,2.085,0.122
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,16,1,1,6,29.62,1.783,0.001,1.87,2.087,0.121
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,32,1,1,6,33.396,1.534,0.001,1.181,2.069,0.113
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,64,1,1,6,32.759,1.461,0.001,0.807,3.847,0.12
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,128,1,1,6,29.7,3.161,0.001,0.918,2.851,0.132
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,256,1,1,6,35.635,3.246,0.003,0.671,2.536,0.137
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,512,1,1,6,39.395,3.36,0.002,0.56,3.688,0.135
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,1024,1,1,6,39.389,2.772,0.002,0.564,3.986,0.14
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,1,1,1,6,29.916,4.189,0.001,18.308,2.336,0.198
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,2,1,1,6,29.641,2.871,0.002,11.616,2.199,0.132
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,4,1,1,6,29.621,2.668,0.002,5.452,2.137,0.19
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,8,1,1,6,29.585,2.695,0.001,3.454,2.166,0.142
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,16,1,1,6,29.616,3.874,0.002,1.687,3.811,0.124
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,32,1,1,6,56.535,3.685,0.002,1.911,2.171,0.124
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,64,1,1,6,58.356,3.341,0.002,1.753,4.041,0.169
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,128,1,1,6,42.654,3.699,0.002,1.059,2.529,0.133
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,256,1,1,6,41.93,3.451,0.001,0.699,2.601,0.129
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,512,1,1,6,42.342,3.648,0.001,0.589,3.917,0.132
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.57286e+06,1024,1,1,6,49.36,3.643,0.003,0.538,3.746,0.128
