device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,MatrixMultiplication,TWO_D,3396,3396,3396,1,1,1,43,457.712,30.551,0.009,678.864,21.736,1
GTX 780,MatrixMultiplication,TWO_D,3396,3396,3396,1,1,1,43,458.496,30.741,0.009,678.633,21.987,1.005
GTX 780,MatrixMultiplication,TWO_D,3396,3396,3396,1,1,1,43,457.223,30.611,0.009,679.459,22.04,1.005
GTX 780,MatrixMultiplication,TWO_D,3396,3396,3396,1,1,1,43,458.832,30.559,0.009,678.86,21.989,1.002
GTX 780,MatrixMultiplication,TWO_D,3396,3396,3396,1,1,1,43,457.72,30.601,0.009,679.428,21.991,0.999
GTX 780,MatrixMultiplication,TWO_D,3396,3396,3396,1,1,1,43,457.943,30.516,0.009,678.476,22.251,0.996
GTX 780,MatrixMultiplication,TWO_D,3396,3396,3396,1,1,1,43,457.713,30.532,0.009,680.633,22.063,1.003
GTX 780,MatrixMultiplication,TWO_D,3396,3396,3396,1,1,1,43,458.226,30.47,0.01,678.06,21.756,1.013
GTX 780,MatrixMultiplication,TWO_D,3396,3396,3396,1,1,1,43,457.937,30.626,0.009,678.606,22.286,1.037
GTX 780,MatrixMultiplication,TWO_D,3396,3396,3396,1,1,1,43,457.425,30.898,0.009,677.655,22.251,1.023
