device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,SquareArray,ONE_D,8.38861e+06,1,1,1,32,166.318,11.16,0.009,0.371,16.119,0.567
GTX 780,SquareArray,ONE_D,8.38861e+06,1,1,1,32,166.059,11.183,0.008,0.37,16.003,0.651
GTX 780,SquareArray,ONE_D,8.38861e+06,1,1,1,32,166.319,11.114,0.009,0.371,15.941,0.66
GTX 780,SquareArray,ONE_D,8.38861e+06,1,1,1,32,166.389,11.145,0.009,0.371,16.166,0.65
GTX 780,SquareArray,ONE_D,8.38861e+06,1,1,1,32,166.629,11.454,0.009,0.369,16.195,0.651
GTX 780,SquareArray,ONE_D,8.38861e+06,1,1,1,32,166.396,11.204,0.009,0.369,16.258,0.635
GTX 780,SquareArray,ONE_D,8.38861e+06,1,1,1,32,166.598,11.133,0.009,0.369,16.163,0.642
GTX 780,SquareArray,ONE_D,8.38861e+06,1,1,1,32,166.854,11.135,0.009,0.389,15.958,0.65
GTX 780,SquareArray,ONE_D,8.38861e+06,1,1,1,32,166.288,11.165,0.009,0.37,15.982,0.656
GTX 780,SquareArray,ONE_D,8.38861e+06,1,1,1,32,166.629,11.205,0.009,0.373,16.306,0.722
