device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0.001,0.001,0.272,0.091,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.072,0.089,0,0.001
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.072,0.087,0,0.001
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0.001,0.001,0.074,0.087,0,0.001
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.076,0.088,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.07,0.087,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.279,0.1,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.294,0.472,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.272,0.098,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.283,0.132,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0.001,0,0.073,0.091,0,0.001
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.073,0.088,0,0.001
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0.001,0,0.294,0.1,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.301,0.089,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0.001,0,0.271,0.087,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.299,0.102,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0.001,0,0.322,0.088,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.301,0.101,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0.001,0,0.272,0.089,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.294,0.086,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.283,0.1,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.07,0.12,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.273,0.09,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.31,0.098,0,0.001
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.294,0.088,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.272,0.089,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.272,0.087,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.272,0.088,0,0.001
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.272,0.09,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.084,0.096,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0.001,0.001,0.293,0.085,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0.001,0,0.286,0.101,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.071,0.088,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.276,0.086,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0.001,0,0.311,0.092,0,0.001
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.284,0.099,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0.001,0.001,0.305,0.1,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.241,0.066,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.072,0.087,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.292,0.088,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.285,0.1,0,0.001
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.284,0.066,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.469,0.089,0,0.001
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0.001,0,0.294,0.087,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.219,0.097,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.296,0.087,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.275,0.088,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.272,0.086,0,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0.001,0.281,0.087,0.001,0
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.258,0.066,0,0.001
Tesla K20Xm,Empty,ONE_D,1,1,1,40,0,0,0.296,0.088,0,0
