device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,228.692,15.621,0.011,0.631,21.719,0.642
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,228.657,15.723,0.011,0.634,21.571,0.624
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,229.393,15.477,0.011,0.63,21.703,0.658
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,229.572,15.749,0.01,0.635,21.876,0.648
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,228.711,17.326,0.01,0.631,23.58,0.651
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,228.819,15.531,0.011,0.631,21.777,0.647
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,228.701,15.442,0.011,0.63,21.707,0.631
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,229.036,15.481,0.01,0.629,21.796,0.657
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,229.036,15.508,0.01,0.629,21.951,0.708
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,229.969,15.448,0.011,0.633,22.017,0.639
