device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,1,1,1,33,176.13,69.82,0.022,2115.64,21.143,2.13
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,2,1,1,33,174.503,60.655,0.021,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,4,1,1,33,175.405,59.944,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,8,1,1,33,174.624,58.987,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,16,1,1,33,174.676,58.885,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,32,1,1,33,174.521,59.358,0.032,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,64,1,1,33,174.892,58.459,0.023,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,128,1,1,33,174.793,59.961,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,256,1,1,33,174.315,58.521,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,512,1,1,33,174.534,59.574,0.022,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,1024,1,1,33,176.258,58.326,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,2048,1,1,33,174.771,58.81,0.021,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,4096,1,1,33,174.195,59.193,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,8192,1,1,33,174.64,62.661,0.006,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,1,1,1,33,178.55,70.079,0.026,2127.42,15.122,2.673
