device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,1,1,1,320,1659.12,160.768,0.01,69.385,193.922,4.836
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,2,1,1,320,1654.02,163.44,0.01,38.291,193.498,4.855
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,4,1,1,320,1653.11,163.436,0.01,29.352,162.519,4.806
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,8,1,1,320,1653.02,163.832,0.009,31.507,195.36,4.935
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,16,1,1,320,1659.4,160.569,0.009,29.617,191.85,4.984
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,32,1,1,320,1653.58,160.541,0.01,31.586,171.257,4.427
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,64,1,1,320,1653.36,158.687,0.009,32.463,176.838,4.607
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,128,1,1,320,1654.39,158.574,0.009,32.617,200.794,4.921
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,256,1,1,320,1653.83,160.137,0.01,30.297,192.467,4.999
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,512,1,1,320,1653.35,160.126,0.01,29.754,176.045,4.579
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,1024,1,1,320,1653.36,158.713,0.009,30.067,176.096,4.574
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,2048,1,1,320,1659.97,158.879,0.01,29.164,174.704,4.42
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,4096,1,1,320,1653.38,158.475,0.01,31.656,195.044,5.036
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,8192,1,1,320,1655.26,160.284,0.009,29.823,169.424,4.349
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,1,1,1,320,1661.26,160.728,0.01,69.123,174.016,4.445
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,2,1,1,320,1653.66,161.306,0.01,39.36,202.432,4.884
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,4,1,1,320,1653.76,162.972,0.009,31.516,177.666,4.49
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,8,1,1,320,1652.94,161.445,0.009,28.557,176.233,4.698
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,16,1,1,320,1653.29,163.183,0.01,27.872,192.893,5.015
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,32,1,1,320,1653.36,164.41,0.01,29.738,176.665,4.706
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,64,1,1,320,1653.65,163.34,0.01,30.001,197.568,4.91
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,128,1,1,320,1654.65,166.337,0.01,32.288,199.226,5.208
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,256,1,1,320,1653.98,166.363,0.01,30.087,174.291,4.525
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,512,1,1,320,1653.69,165.55,0.01,30.472,201.104,4.975
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,1024,1,1,320,1654.06,166.409,0.01,30.511,174.96,4.535
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,2048,1,1,320,1654.06,164.94,0.009,32.367,170.756,4.437
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,4096,1,1,320,1654.58,165,0.009,31.288,175.232,4.408
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,8.38861e+07,8192,1,1,320,1655.54,164.927,0.009,32.441,191.867,5.026
