device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,1,1,1,38,207.079,19.447,0.02,4.114,12.394,1.756
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,2,1,1,38,201.88,19.62,0.007,3.623,6.333,1.863
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,4,1,1,38,200.98,19.607,0.006,2.696,3.266,1.886
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,8,1,1,38,200.418,19.672,0.006,1.635,1.718,1.696
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,16,1,1,38,199.626,19.725,0.006,1.575,0.975,1.665
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,32,1,1,38,200.03,19.653,0.007,1.668,0.577,1.681
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,64,1,1,38,199.218,19.997,0.006,1.697,0.353,1.507
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,128,1,1,38,199.079,19.64,0.007,1.84,0.227,1.586
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,256,1,1,38,199.349,19.613,0.006,1.982,0.202,1.514
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,512,1,1,38,199.812,19.571,0.006,1.926,0.183,1.551
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,1024,1,1,38,198.998,19.717,0.02,2.289,0.135,1.524
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,2048,1,1,38,199.433,19.657,0.007,2.594,0.102,1.59
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,4096,1,1,38,199.35,19.546,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,8192,1,1,38,196.511,19.194,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,1,1,1,38,208.443,19.539,0.008,5.452,13.953,1.613
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,2,1,1,38,205.148,19.218,0.007,4.166,6.407,1.7
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,4,1,1,38,202.071,19.459,0.008,2.713,3.229,1.884
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,8,1,1,38,200.902,19.655,0.008,1.637,1.712,1.788
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,16,1,1,38,199.245,19.538,0.008,1.654,0.974,1.661
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,32,1,1,38,199.379,19.882,0.006,1.675,0.613,1.663
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,64,1,1,38,199.189,19.451,0.007,1.737,0.317,1.541
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,128,1,1,38,199.384,19.383,0.008,1.873,0.236,1.565
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,256,1,1,38,199.497,19.423,0.007,2.011,0.265,1.571
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,512,1,1,38,199.956,19.586,0.007,2.155,0.154,1.591
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,1024,1,1,38,199.308,19.374,0.008,2.115,0.175,1.6
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,2048,1,1,38,198.851,19.431,0.007,2.741,0.091,1.546
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,4096,1,1,38,199.095,19.343,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,8192,1,1,38,196.114,18.873,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,1,1,1,38,211.469,19.406,0.009,5.629,14.188,2.138
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,2,1,1,38,204.19,19.422,0.008,4.338,6.338,2.399
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,4,1,1,38,202.663,20.448,0.01,2.897,5.545,2.329
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,8,1,1,38,200.504,20.012,0.008,1.788,3.551,2.29
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,16,1,1,38,198.453,20.07,0.014,1.868,1.324,2.25
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,32,1,1,38,198.689,19.969,0.01,2.484,0.862,2.353
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,64,1,1,38,198.541,19.944,0.009,2.53,0.8,2.393
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,128,1,1,38,198.47,19.833,0.025,2.103,0.265,2.621
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,256,1,1,38,199.482,19.854,0.01,2.205,0.287,2.134
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,512,1,1,38,198.645,19.552,0.008,2.288,0.115,2.745
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,1024,1,1,38,207.857,20.023,0.009,2.449,0.787,2.035
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,2048,1,1,38,199.52,20.27,0.009,2.508,0.076,2.007
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,4096,1,1,38,202.717,19.422,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,8192,1,1,38,195.491,19.085,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,1,1,1,38,213.62,19.42,0.022,5.093,12.564,1.572
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,2,1,1,38,205.106,19.626,0.008,4.53,6.343,1.466
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,4,1,1,38,202.184,19.572,0.006,3.924,3.298,1.411
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.49037e+06,8,1,1,38,200.973,19.82,0.008,3.708,1.729,1.445
