device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,1,1,1,14,76.771,12.158,0.007,5.88,5.19,1.347
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,2,1,1,14,71.592,12.237,0.008,3.934,8.266,1.449
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,4,1,1,14,71.302,11.526,0.008,3.9,6.072,1.636
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,8,1,1,14,94.474,14.824,0.008,5.39,6.221,1.569
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,16,1,1,14,93.87,14.402,0.007,4.133,9.141,1.683
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,32,1,1,14,94.409,14.83,0.009,3.442,6.027,1.651
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,64,1,1,14,94.047,14.78,0.008,4.958,6.317,1.765
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,128,1,1,14,94.476,14.735,0.01,3.586,10.03,1.645
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,256,1,1,14,94.681,14.614,0.009,4.513,6.265,1.732
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,512,1,1,14,93.985,14.739,0.008,3.253,8.75,1.731
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,1024,1,1,14,94.532,14.532,0.008,3.415,6.602,1.71
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,2048,1,1,14,94.545,14.786,0.008,4.255,6.286,1.809
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,4096,1,1,14,94.296,14.748,0.009,3.477,6.193,1.661
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,8192,1,1,14,94.702,14.826,0.01,3.431,6.132,1.652
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,1,1,1,14,73.145,13.405,0.007,5.558,6.846,1.521
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,2,1,1,14,73.535,12.883,0.008,3.933,8.181,1.442
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,4,1,1,14,73.009,13.01,0.007,3.745,7.788,1.484
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,8,1,1,14,72.852,13.136,0.008,6.227,8.533,1.744
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,16,1,1,14,94.421,15.583,0.009,4.429,8.796,1.785
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,32,1,1,14,94.467,15.52,0.008,3.394,8.6,1.638
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,64,1,1,14,94.472,15.906,0.009,4.781,9.021,1.708
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,128,1,1,14,94.444,15.815,0.008,4.582,8.645,1.757
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,256,1,1,14,94.648,15.86,0.008,3.883,8.602,1.784
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,512,1,1,14,94.598,15.865,0.007,3.613,8.906,1.685
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,1024,1,1,14,95.098,15.58,0.008,3.842,8.534,1.67
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,2048,1,1,14,95.021,15.177,0.007,4.572,8.824,1.748
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,4096,1,1,14,94.611,15.866,0.009,4.106,8.644,1.736
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,3.67002e+06,8192,1,1,14,94.838,15.72,0.008,3.949,8.958,1.683
