device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,1,1,1,64,0.017,0,0.005,2.075,0,1.251
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,2,1,1,64,0.004,0,0.002,0.814,0,0.838
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,4,1,1,64,0.011,0,0.004,0.543,0.001,0.636
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,8,1,1,64,0.011,0,0.004,0.527,0,0.853
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,16,1,1,64,0.012,0,0.004,0.535,0,0.61
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,32,1,1,64,0.011,0,0.004,0.522,0.001,0.648
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,64,1,1,64,0.012,0,0.004,0.466,0.001,0.581
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,128,1,1,64,0.01,0.001,0.003,0.512,0,0.581
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,256,1,1,64,0.01,0,0.003,0.51,0.001,0.533
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,512,1,1,64,0.009,0,0.002,0.507,0.001,0.527
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,1024,1,1,64,0.009,0,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,2048,1,1,64,0.01,0,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,4096,1,1,64,0.009,0,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,606,161,8192,1,1,64,0.009,0,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,1,1,1,64,0.015,0,0.006,1.365,0,1.018
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,2,1,1,64,0.011,0,0.005,0.954,0.001,0.965
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,4,1,1,64,0.014,0,0.003,0.581,0.001,1.03
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,8,1,1,64,0.012,0.001,0.003,0.528,0.001,0.956
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,16,1,1,64,0.012,0.001,0.003,0.566,0,1.043
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,32,1,1,64,0.012,0,0.004,0.49,0.001,0.964
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,64,1,1,64,0.012,0,0.003,0.507,0.001,0.979
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,128,1,1,64,0.01,0,0.003,0.593,0.001,0.96
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,256,1,1,64,0.011,0,0.003,0.53,0.001,0.944
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,512,1,1,64,0.012,0,0.003,0.518,0,0.962
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,1024,1,1,64,0.012,0.001,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,2048,1,1,64,0.011,0,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,4096,1,1,64,0.009,0,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,317,962,8192,1,1,64,0.01,0.001,0.003,-1,-1,-1
