device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,1,1,1,19,140.909,25.812,0.01,2164.85,4.597,1.419
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,2,1,1,19,142.316,26.498,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,4,1,1,19,140.066,23.63,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,8,1,1,19,140.009,23.404,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,16,1,1,19,140.531,23.819,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,32,1,1,19,129.582,20.855,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,64,1,1,19,108.329,21.201,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,128,1,1,19,105.739,21.133,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,256,1,1,19,105.041,21.082,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,512,1,1,19,105.021,20.602,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,1024,1,1,19,104.522,20.707,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,2048,1,1,19,105.203,20.657,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,4096,1,1,19,105.694,21.151,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,8192,1,1,19,105.351,21.232,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,1,1,1,19,108.032,32.886,0.008,2149.24,12.108,2.04
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,2,1,1,19,144.881,39.963,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,4,1,1,19,141.021,36.635,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,8,1,1,19,144.709,37,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,16,1,1,19,108.468,31.356,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,32,1,1,19,106.172,31.68,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,64,1,1,19,108.806,29.379,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,128,1,1,19,106.635,27.89,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,256,1,1,19,103.263,24.373,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,512,1,1,19,104.269,19.738,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,1024,1,1,19,107.296,20.156,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,2048,1,1,19,102.29,19.816,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,4096,1,1,19,110.233,33.216,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,8192,1,1,19,106.544,32.239,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,1,1,1,19,107.542,36.881,0.008,2158.63,10.839,1.391
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,2,1,1,19,139.512,42.299,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,4,1,1,19,141.625,35.877,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,8,1,1,19,137.207,35.474,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,16,1,1,19,114.367,33.807,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,32,1,1,19,106.282,34.178,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,64,1,1,19,108.419,34.908,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,128,1,1,19,103.946,32.163,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,256,1,1,19,105.432,32.72,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,512,1,1,19,107.876,32.796,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,1024,1,1,19,107.864,32.633,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,2048,1,1,19,112.736,31.523,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,4096,1,1,19,108.2,31.168,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Convolution,ONE_D,2289,2289,64,64,8192,1,1,19,109.074,32.976,0.011,-1,-1,-1
