device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,1,1,28,106.174,24.791,0.018,3976.89,29.913,4.101
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,2,1,28,101.746,26.137,0.016,2799.45,22.787,4.845
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,4,1,28,108.304,26.011,0.011,2161.45,21.437,3.432
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,8,1,28,102.701,26.012,0.013,1871.03,23.39,4.475
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,16,1,28,104.227,25.907,0.012,1664.81,22.397,3.486
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,32,1,28,103.034,26.05,0.011,1588.69,24.798,4.141
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,64,1,28,110.109,25.72,0.012,1479.55,23.07,3.122
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,128,1,28,103.766,25.695,0.012,1409.44,25.027,4.55
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,256,1,28,110.184,25.962,0.013,1299.02,23.202,3.976
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,512,1,28,103.947,26.116,0.012,1098.65,24.689,4.339
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,1024,1,28,102.032,26.001,0.013,1219.66,30.404,3.768
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,2048,1,28,100.369,25.75,0.012,1407.2,31.003,3.99
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,4096,1,28,103.796,25.747,0.015,1750.21,20.966,4.324
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,1,8192,1,28,99.56,25.571,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,2,1,1,28,100.183,25.759,0.011,2747.81,26.279,3.006
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,2,2,1,28,99.314,25.942,0.012,2159.11,20.926,3.076
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,2,4,1,28,99.467,25.458,0.012,1828.74,21.951,4.34
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,2,8,1,28,105.129,26.112,0.013,1653.53,21.532,4.245
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,2,16,1,28,104.564,26.015,0.012,1550.55,26.213,4.262
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,2,32,1,28,99.441,25.803,0.011,1477.01,25.28,4.914
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,2,64,1,28,107.614,25.908,0.012,1395.7,20.587,4.117
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,2,128,1,28,105.741,25.71,0.012,1297.2,24.199,4.571
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,2,256,1,28,101.473,25.897,0.011,1106.27,23.315,3.951
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,2,512,1,28,101.214,25.688,0.011,1171.56,24.833,3.471
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,2,1024,1,28,99.507,25.656,0.012,1379.47,23.751,4.498
