device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,1,1,1,17.622,1.639,0.006,6.532,1.551,1.638
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,2,1,1,17.809,1.643,0.005,17.503,0.768,1.638
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,4,1,1,17.688,1.555,0.004,13.057,0.559,1.673
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,8,1,1,15.693,1.673,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,16,1,1,14.195,1.556,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,32,1,1,14.235,1.58,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,64,1,1,13.755,3.067,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,128,1,1,15.265,1.221,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,256,1,1,13.404,1.182,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,512,1,1,13.422,1.179,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,1024,1,1,13.442,1.181,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,2048,1,1,13.461,1.162,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,4096,1,1,13.4,1.794,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,1,8192,1,1,13.466,1.163,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,724,724,2,1,1,1,13.456,1.167,0.005,5.413,0.853,1.369
